set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
nuclear pore complex assembly (GO:0051292),0.9071426374815426,149.0,1.0586122439287573,158.0
meiotic sister chromatid cohesion (GO:0051177),0.9033513158925082,150.0,0.9975553171337393,218.0
reticulophagy (GO:0061709),0.9033041573649768,151.0,0.8822189521939071,421.0
protein insertion into mitochondrial inner membrane (GO:0045039),0.9028515162696916,152.0,0.9317439797454974,308.0
mitochondrial translation (GO:0032543),0.9026606223879811,153.0,1.121595973935933,106.0
endoplasmic reticulum tubular network organization (GO:0071786),0.9019596385733701,154.0,0.8395929695467897,519.0
RNA stabilization (GO:0043489),0.9017464022481373,155.0,1.0798910694526067,135.0
pyrimidine nucleoside metabolic process (GO:0006213),0.9014438354031584,156.0,1.0539975398739658,160.0
neuron remodeling (GO:0016322),0.9011876038753597,157.0,0.7791818410120193,702.0
DNA modification (GO:0006304),0.8975162814149122,158.0,0.9575411612102797,271.0
"negative regulation of blood coagulation, intrinsic pathway (GO:2000267)",0.8947452422910116,159.5,0.8947597164058293,385.5
"regulation of blood coagulation, intrinsic pathway (GO:2000266)",0.8947452422910116,159.5,0.8947597164058293,385.5
magnesium ion homeostasis (GO:0010960),0.8944604712599976,161.0,0.8388961583210254,523.0
inner mitochondrial membrane organization (GO:0007007),0.893820986132625,162.0,0.9307812723855274,309.0
import into nucleus (GO:0051170),0.8934770185515906,163.0,0.9744995225458621,248.0
purine ribonucleoside monophosphate metabolic process (GO:0009167),0.8934273103073728,164.0,1.0760863211536513,142.0
protein K6-linked ubiquitination (GO:0085020),0.893105916034092,165.0,0.9401745173411602,296.0
positive regulation of vesicle fusion (GO:0031340),0.8925463979308489,166.0,1.0145967119303088,198.0
regulation of nuclear cell cycle DNA replication (GO:0033262),0.8904287489773232,167.0,0.9085745348761073,353.0
pyrimidine nucleoside salvage (GO:0043097),0.8895989615529638,168.5,0.7763915073076171,715.5
pyrimidine-containing compound salvage (GO:0008655),0.8895989615529638,168.5,0.7763915073076171,715.5
retrograde axonal transport (GO:0008090),0.8892307069514308,170.0,0.8955005664595855,380.0
mitotic DNA replication checkpoint signaling (GO:0033314),0.888953192383512,171.0,1.0321723845553017,182.0
purine ribonucleoside monophosphate biosynthetic process (GO:0009168),0.888843045872152,172.0,1.0865619682616239,129.0
tRNA aminoacylation (GO:0043039),0.8872433613669033,173.0,1.1119340063219971,116.0
positive regulation of extracellular matrix assembly (GO:1901203),0.8872246715503049,174.0,1.074009944009635,145.0
regulation of posttranscriptional gene silencing (GO:0060147),0.8854822287632409,175.5,1.1177129835224289,109.5
regulation of gene silencing by RNA (GO:0060966),0.8854822287632409,175.5,1.1177129835224289,109.5
DNA replication-independent nucleosome organization (GO:0034724),0.885060086827443,177.0,1.1388612895617416,97.0
coenzyme A metabolic process (GO:0015936),0.884982662762991,178.0,0.9668122135780529,255.0
T cell apoptotic process (GO:0070231),0.8847128790656204,179.0,1.275935343722072,53.0
mitochondrial DNA metabolic process (GO:0032042),0.8821757226449115,180.0,0.8725841356517172,439.0
protein lipoylation (GO:0009249),0.8813306510618251,181.0,1.2026292912115213,73.0
positive regulation of mitotic cell cycle phase transition (GO:1901992),0.8799938733591088,182.0,0.9788332789615426,239.0
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254),0.8797708907365923,183.0,1.101268647689476,123.0
positive regulation of transporter activity (GO:0032411),0.879182030754325,184.0,0.82839746005698,546.0
regulation of metaphase/anaphase transition of cell cycle (GO:1902099),0.8790727696209555,185.0,0.8913568474721465,395.0
negative regulation of cytokinesis (GO:0032466),0.878349381072088,186.0,0.98366228967795,229.0
response to X-ray (GO:0010165),0.877879818295274,187.0,1.0477984293799623,169.0
"DNA-templated transcription, termination (GO:0006353)",0.8773296344547789,188.0,1.0026471438717481,213.0
mitotic G2 DNA damage checkpoint signaling (GO:0007095),0.8773089672686681,189.0,0.9618722953677302,262.0
regulation of chemokine-mediated signaling pathway (GO:0070099),0.8772190713128424,190.0,0.8992669076630583,374.0
positive regulation of double-strand break repair via homologous recombination (GO:1905168),0.8766069036834665,191.0,0.8409927880522785,516.0
positive regulation of protein polyubiquitination (GO:1902916),0.8751418331657823,192.0,0.7044207840145247,1025.0
mRNA pseudouridine synthesis (GO:1990481),0.8744194066597378,193.0,1.2258504881167944,65.0
DNA replication (GO:0006260),0.8741588667223807,194.0,0.9667788477215289,256.0
error-prone translesion synthesis (GO:0042276),0.873689832598896,195.0,0.9379438263212412,299.0
transport along microtubule (GO:0010970),0.8735737997996353,196.0,1.1681770939631273,85.0
DNA replication checkpoint signaling (GO:0000076),0.873026146524964,197.0,0.9711654272960344,251.0
neuron maturation (GO:0042551),0.8724248458066812,198.0,0.7969271040705548,639.0
"RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)",0.8721569272248851,199.0,0.9294380683786914,312.0
amine transport (GO:0015837),0.8719346610771392,200.0,0.8886986691070972,404.0
tubulin complex assembly (GO:0007021),0.870591397594478,201.0,1.276576937792872,52.0
mitotic nuclear membrane disassembly (GO:0007077),0.8703767912579791,202.0,0.7721709291894979,729.0
alpha-beta T cell activation (GO:0046631),0.8698543403668257,203.0,0.8919071443724029,394.0
serine family amino acid biosynthetic process (GO:0009070),0.8687443207226931,204.0,0.976654828736466,244.0
regulation of mitotic metaphase/anaphase transition (GO:0030071),0.868435083137875,205.0,0.9614423027770831,263.0
regulation of chromatin organization (GO:1902275),0.8681245354852393,206.0,1.0402116556434091,176.0
regulation of leukocyte activation (GO:0002694),0.8672047100260203,207.0,0.7827958514451105,684.0
replication-born double-strand break repair via sister chromatid exchange (GO:1990414),0.8656930531973183,208.0,1.2013748236731174,74.0
exonucleolytic catabolism of deadenylated mRNA (GO:0043928),0.8655927694679652,209.0,1.0019498767214627,214.0
nucleoside salvage (GO:0043174),0.8646783571324479,210.0,0.8049917063000617,612.0
positive regulation of ligase activity (GO:0051351),0.8642164345911993,211.0,1.1172198445669101,111.0
box C/D snoRNP assembly (GO:0000492),0.8641329749437073,212.5,1.0537569676860867,161.5
small nucleolar ribonucleoprotein complex assembly (GO:0000491),0.8641329749437073,212.5,1.0537569676860867,161.5
protein localization to vacuole (GO:0072665),0.8636282361235823,214.0,0.9018025130903787,368.0
nucleosome assembly (GO:0006334),0.8634351284950443,215.0,1.0788689665859013,136.0
negative regulation of meiotic nuclear division (GO:0045835),0.8628376850814995,216.0,1.0106602696686042,205.0
negative regulation of protein depolymerization (GO:1901880),0.8616543354773984,217.0,0.9151531022930784,342.0
regulation of microtubule depolymerization (GO:0031114),0.8609209176821889,218.0,0.9187967300402153,330.0
regulation of microtubule polymerization or depolymerization (GO:0031110),0.8553212866167755,219.0,0.9569915359345179,274.0
COPI-coated vesicle budding (GO:0035964),0.8551938307608752,221.0,0.721328262775895,941.0
COPI coating of Golgi vesicle (GO:0048205),0.8551938307608752,221.0,0.721328262775895,941.0
Golgi transport vesicle coating (GO:0048200),0.8551938307608752,221.0,0.721328262775895,941.0
regulation of cyclin-dependent protein kinase activity (GO:1904029),0.8548413975130492,223.0,0.9969574962865773,219.0
positive regulation of T-helper 2 cell differentiation (GO:0045630),0.8542706689083186,224.0,0.8598134189381841,469.0
chromatin organization involved in regulation of transcription (GO:0034401),0.8532878825025041,225.5,0.9213165207052821,326.5
chromatin-mediated maintenance of transcription (GO:0048096),0.8532878825025041,225.5,0.9213165207052821,326.5
epiboly involved in wound healing (GO:0090505),0.8491456286515686,227.0,0.8358095324885649,528.0
"positive regulation of mRNA splicing, via spliceosome (GO:0048026)",0.8490591170471818,228.0,1.135610980794506,100.0
mitotic cytokinesis (GO:0000281),0.8487950602823267,229.0,0.8883575202429541,407.0
erythrocyte development (GO:0048821),0.8476805245779314,230.0,0.8218370254338263,566.0
chromatin assembly or disassembly (GO:0006333),0.8461575616629817,231.0,1.043975937991846,172.0
late nucleophagy (GO:0044805),0.8452100309606392,232.0,1.090799245626488,127.0
DNA biosynthetic process (GO:0071897),0.8446130577180431,233.0,1.0508001647462435,167.0
acid secretion (GO:0046717),0.8434476843183244,234.0,0.5695229680518731,1942.0
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280),0.8428053955724001,235.5,0.8346663163658712,532.5
negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315),0.8428053955724001,235.5,0.8346663163658712,532.5
"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",0.842548880301751,237.0,1.0043515488952481,211.0
negative regulation of DNA recombination (GO:0045910),0.8422031879734309,238.0,1.06318295544312,153.0
regulation of lipid kinase activity (GO:0043550),0.8418657089654875,239.0,0.9755990205843698,245.0
rRNA processing (GO:0006364),0.840148467056634,240.0,1.0659516905162227,152.0
regulation of cytoplasmic transport (GO:1903649),0.8385083894929845,241.0,0.784544918207943,678.0
tRNA 5'-leader removal (GO:0001682),0.8382343679874146,242.5,0.80280270509232,616.5
tRNA 5'-end processing (GO:0099116),0.8382343679874146,242.5,0.80280270509232,616.5
"DNA damage response, signal transduction resulting in transcription (GO:0042772)",0.836570149982654,244.5,0.9955535734306264,220.5
"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)",0.836570149982654,244.5,0.9955535734306264,220.5
regulation of T-helper 2 cell differentiation (GO:0045628),0.8357704827577286,246.0,0.8060810954016545,609.0
iron-sulfur cluster assembly (GO:0016226),0.8351699904105223,247.0,0.9052102855673908,359.0
heterochromatin assembly (GO:0031507),0.8318068089885707,248.0,0.9384482201157156,297.0
snRNA 3'-end processing (GO:0034472),0.8317733649523928,249.0,1.088902456867366,128.0
regulation of protein localization to cell cortex (GO:1904776),0.8303053971261035,250.5,0.8430760966235983,508.5
positive regulation of protein localization to cell cortex (GO:1904778),0.8303053971261035,250.5,0.8430760966235983,508.5
regulation of mammary gland epithelial cell proliferation (GO:0033599),0.8297994030329263,252.0,0.8857999118458322,409.0
thiamine-containing compound metabolic process (GO:0042723),0.8294759164560066,253.0,1.00167763348888,215.0
