set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
Renal cell carcinoma,0.34186804849644764,275.0,0.47769470680721676,214.0
Natural killer cell mediated cytotoxicity,0.3418610183246413,276.0,0.4106065005739883,273.0
Neuroactive ligand-receptor interaction,0.3401292667913388,277.0,0.4333120874839094,255.0
Viral protein interaction with cytokine and cytokine receptor,0.33981590412281615,278.0,0.39218967181636727,285.0
IL-17 signaling pathway,0.3387552797135676,279.0,0.3311712306491112,305.0
Autoimmune thyroid disease,0.3321002823537068,280.0,0.39890895346347904,281.0
Galactose metabolism,0.3305257640642253,281.0,0.4010464707125825,279.0
Tryptophan metabolism,0.32983545651729346,282.0,0.3269367939972449,307.0
Steroid hormone biosynthesis,0.32767444492505027,283.0,0.3497654006519402,302.0
Malaria,0.32765361768189755,284.0,0.45449083736725654,234.0
RIG-I-like receptor signaling pathway,0.3275027616654244,285.0,0.4786388583882277,212.0
Cholesterol metabolism,0.32602727732172837,286.0,0.39249963487697437,284.0
Bile secretion,0.3241408851246766,287.0,0.37924954650565096,293.0
Metabolism of xenobiotics by cytochrome P450,0.32335127800281427,288.0,0.3824704186359908,291.0
Linoleic acid metabolism,0.3227183353896388,289.0,0.37763214133857254,294.0
B cell receptor signaling pathway,0.3214252645788336,290.0,0.40243430606643243,278.0
Complement and coagulation cascades,0.31859911830942,291.0,0.34824184834378624,303.0
Retinol metabolism,0.3120024313811933,292.0,0.37314010552324256,296.0
Cytokine-cytokine receptor interaction,0.3103774150053054,293.0,0.3682207130212299,298.0
Graft-versus-host disease,0.3101633935730814,294.0,0.20977018477755374,315.0
JAK-STAT signaling pathway,0.3049270811771933,295.0,0.3947572141586418,282.0
Phenylalanine metabolism,0.3044869925837207,296.0,0.28975274343472834,311.0
Primary immunodeficiency,0.30272559853967557,297.0,0.4597186121335573,230.0
Caffeine metabolism,0.2990592594659697,298.0,0.4831388661018504,206.0
Measles,0.29821548902246525,299.0,0.4762501100552313,215.0
Arginine biosynthesis,0.29257452265572054,300.0,0.4816520846355507,208.0
Histidine metabolism,0.28965112439396856,301.0,0.3875562101775272,286.0
Taste transduction,0.2876708379608909,302.0,0.3548550783566301,301.0
Fat digestion and absorption,0.28073394155765813,303.0,0.24703887221077295,314.0
Sphingolipid metabolism,0.27911433506216127,304.0,0.3666167321999435,299.0
Renin-angiotensin system,0.27656178382001756,305.0,0.45693022664734784,233.0
