set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015),1.0034912047783484,93.5,0.9993452461716682,20.5
5-phosphoribose 1-diphosphate metabolic process (GO:0046391),1.0034912047783484,93.5,0.9993452461716682,20.5
protein K29-linked ubiquitination (GO:0035519),1.0004443029303844,95.0,0.5842183960369789,1435.0
mitotic DNA integrity checkpoint signaling (GO:0044774),0.9888142076271573,96.0,0.727400818672533,400.0
G-quadruplex DNA unwinding (GO:0044806),0.9871200436807026,97.0,0.589524015821208,1375.0
spliceosomal snRNP assembly (GO:0000387),0.9841136902787679,98.0,0.5254360563358095,2334.0
V(D)J recombination (GO:0033151),0.9826216315736976,99.0,0.5304931909946183,2242.0
nephron tubule development (GO:0072080),0.982573942226828,100.0,0.35790532622368276,4511.0
mitotic chromosome condensation (GO:0007076),0.9783125065499746,101.0,0.4279297193372165,3918.0
negative regulation of telomere maintenance via telomere lengthening (GO:1904357),0.9779356949114815,102.0,0.5548270058150606,1836.0
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166),0.9717883325370255,103.0,0.7922197662787506,212.0
pyrimidine nucleoside biosynthetic process (GO:0046134),0.9693600864247506,104.0,0.4878967261310294,3059.0
telomeric loop disassembly (GO:0090657),0.9691166182898376,105.0,0.712019901564985,452.0
microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.9669547706877122,106.0,0.5369629275326849,2139.0
stress-activated protein kinase signaling cascade (GO:0031098),0.966166707961259,107.0,0.8033771811259423,187.0
positive regulation of DNA-directed DNA polymerase activity (GO:1900264),0.9656416696522706,108.5,0.503683852447879,2759.5
regulation of DNA-directed DNA polymerase activity (GO:1900262),0.9656416696522706,108.5,0.503683852447879,2759.5
histone phosphorylation (GO:0016572),0.9646079854586642,110.0,0.5435282415272641,2032.0
histone exchange (GO:0043486),0.9640879305298053,111.0,0.5342193425612024,2172.0
microtubule depolymerization (GO:0007019),0.9629787541208467,112.0,0.4701445082114836,3349.0
mitochondrial translational termination (GO:0070126),0.9540108854681605,113.0,0.5228184059834567,2400.0
regulation of protein kinase A signaling (GO:0010738),0.9487142046864293,114.0,0.45363290945950774,3603.0
histone-serine phosphorylation (GO:0035404),0.9480235680591244,115.0,0.890584370846447,78.0
attachment of mitotic spindle microtubules to kinetochore (GO:0051315),0.9476250141166839,116.0,0.7410808079359477,356.0
positive regulation of viral transcription (GO:0050434),0.9474147290035978,117.0,0.7308093658349663,389.0
regulation of vesicle fusion (GO:0031338),0.9444237717270291,118.0,0.603984979781819,1209.0
leucine catabolic process (GO:0006552),0.9421549638560955,119.5,0.390650663858515,4272.5
leucine metabolic process (GO:0006551),0.9421549638560955,119.5,0.390650663858515,4272.5
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",0.9380222458760141,121.0,0.37537538478147486,4403.0
mitotic spindle organization (GO:0007052),0.9370502753860794,122.0,0.5436323734753828,2030.0
lysosomal microautophagy (GO:0016237),0.9347654372152966,123.5,0.6116238107728779,1131.5
piecemeal microautophagy of the nucleus (GO:0034727),0.9347654372152966,123.5,0.6116238107728779,1131.5
mitochondrial translational elongation (GO:0070125),0.9337406347646179,125.0,0.5208876233418084,2437.0
establishment of protein localization to mitochondrion (GO:0072655),0.9311043028509214,126.0,0.42828288444631923,3915.0
membrane biogenesis (GO:0044091),0.9303788090570259,127.0,0.34129415162807236,4594.0
translational termination (GO:0006415),0.929978288767707,128.0,0.5201269378136932,2446.0
negative regulation of chromosome organization (GO:2001251),0.929202151661703,129.0,0.6888711549896268,575.0
GDP-mannose metabolic process (GO:0019673),0.9249434250728479,130.0,0.667477000256422,708.0
dopamine transport (GO:0015872),0.9238528969570274,131.0,0.5399154264398546,2088.0
nucleotide biosynthetic process (GO:0009165),0.9221875199573107,132.0,0.6110898625854685,1135.0
mitochondrial RNA processing (GO:0000963),0.9215339373120601,133.0,0.4637129422795055,3453.0
regulation of protein K63-linked ubiquitination (GO:1900044),0.9214692525461867,134.0,0.5114167844427984,2615.0
translational elongation (GO:0006414),0.921066153593655,135.0,0.5262521243610608,2319.0
regulation of DNA recombination at telomere (GO:0072695),0.9206445851037679,136.5,0.8305936133169137,139.5
negative regulation of DNA recombination at telomere (GO:0048239),0.9206445851037679,136.5,0.8305936133169137,139.5
DNA alkylation (GO:0006305),0.9205446906989622,138.5,0.7559966768221312,295.5
DNA methylation or demethylation (GO:0044728),0.9205446906989622,138.5,0.7559966768221312,295.5
