================ Training Loss (Sat Mar  7 14:38:49 2026) ================
(epoch: 7, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.875 D_A: 0.000 D_B: 3.154 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.815 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 8, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 2.951 D_A: 0.000 D_B: 2.485 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.817 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 8, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.693 D_A: 0.000 D_B: 13.304 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.768 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 8, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.739 D_A: 0.000 D_B: 14.380 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.600 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 8, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 2.405 D_A: 0.000 D_B: 3.570 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.800 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 8, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.147 D_A: 0.000 D_B: 0.996 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.830 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 9, iters: 0, time: 0.004, data: 0.001) G_A: 0.000 G_B: 0.023 D_A: 0.000 D_B: 4.597 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 8.063 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 9, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.956 D_A: 0.000 D_B: 7.526 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.930 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 9, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.265 D_A: 0.000 D_B: 25.735 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.849 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 9, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.557 D_A: 0.000 D_B: 4.221 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 8.119 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 9, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.428 D_A: 0.000 D_B: 8.665 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.908 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 10, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.734 D_A: 0.000 D_B: 0.588 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.822 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
