Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_23_P33809	IMP3	IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)	GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005730(nucleolus)|GO:0006364(rRNA processing)|GO:0006412(translation)|GO:0019843(rRNA binding)|GO:0030529(ribonucleoprotein complex)
UKv4_A_32_P481377	KRTAP11-1	keratin associated protein 11-1	GO:0005882(intermediate filament)
UKv4_A_23_P254842	HDHD1A	haloacid dehalogenase-like hydrolase domain containing 1A	GO:0003824(catalytic activity)|GO:0005575(cellular_component)|GO:0008152(metabolic process)
UKv4_A_23_P302404	RASSF6	Ras association (RalGDS/AF-6) domain family 6	GO:0005515(protein binding)|GO:0007165(signal transduction)
UKv4_A_23_P23102	ZSCAN20	zinc finger and SCAN domain containing 20	GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0005622=intracellular|GO:0005634=nucleus|GO:0003700=transcription factor activity|GO:0046872=metal ion binding|GO:0008270=zinc ion binding
UKv4_A_23_P120146	TGFBRAP1	transforming growth factor, beta receptor associated protein 1	GO:0004872(receptor activity)|GO:0005160(transforming growth factor beta receptor binding)|GO:0007165(signal transduction)|GO:0007179(transforming growth factor beta receptor signaling pathway)|GO:0016020(membrane)|GO:0045449(regulation of transcription)|
UKv4_A_23_P137097	SLC16A2	solute carrier family 16, member 2 (monocarboxylic acid transporter 8)	GO:0006810=transport|GO:0015718=monocarboxylic acid transport|GO:0005886=plasma membrane|GO:0005887=integral to plasma membrane|GO:0005624=membrane fraction|GO:0005215=transporter activity|GO:0008028=monocarboxylic acid transmembrane transporter activity|
UKv4_A_23_P216679	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	GO:0004722(protein serine/threonine phosphatase activity)|GO:0004725(protein tyrosine phosphatase activity)|GO:0005634(nucleus)|GO:0006470(protein amino acid dephosphorylation)|GO:0008138(protein tyrosine/serine/threonine phosphatase activity)|GO:0016787(
UKv4_A_23_P111273	TBC1D7	TBC1 domain family, member 7	GO:0032313=regulation of Rab GTPase activity|GO:0005622=intracellular|GO:0005096=GTPase activator activity|GO:0005097=Rab GTPase activator activity
UKv4_A_24_P224116	PLA2G1B	phospholipase A2, group IB (pancreas)	GO:0004623(phospholipase A2 activity)|GO:0005102(receptor binding)|GO:0005509(calcium ion binding)|GO:0006644(phospholipid metabolic process)|GO:0007015(actin filament organization)|GO:0007165(signal transduction)|GO:0016042(lipid catabolic process)|GO:00
UKv4_A_32_P511713	C11orf42	chromosome 11 open reading frame 42	
UKv4_A_32_P346172	WDR88	WD repeat domain 88	GO:0006118(electron transport)
UKv4_A_23_P254733	MLF1IP	MLF1 interacting protein	GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0044419=interspecies interaction between organisms|GO:0000775=chromosome, centromeric region|GO:0000777=condensed chromosome kinetochore|GO:0005634=nucleus|GO:0005737=cytopl
UKv4_A_23_P98571	C11orf66	chromosome 11 open reading frame 66	
UKv4_A_23_P47073	WDR37	WD repeat domain 37	
UKv4_A_23_P159406	SPRR1B	small proline-rich protein 1B (cornifin)	GO:0008544=epidermis development|GO:0018149=peptide cross-linking|GO:0030216=keratinocyte differentiation|GO:0031424=keratinization|GO:0001533=cornified envelope|GO:0005737=cytoplasm|GO:0030674=protein binding, bridging|GO:0005198=structural molecule acti
UKv4_A_23_P200928	NID1	nidogen 1	GO:0005201(extracellular matrix structural constituent)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005604(basement membrane)|GO:0007155(cell adhesion)|GO:0007160(cell-matrix adhesion)|GO:0008218(bioluminescence)|GO:0016020(membrane)|G
UKv4_A_23_P129246	PLEKHO2	pleckstrin homology domain containing, family O member 2	
UKv4_A_23_P215566	AHR	aryl hydrocarbon receptor	GO:0006915=apoptosis|GO:0007165=signal transduction|GO:0006355=regulation of transcription, DNA-dependent|GO:0006366=transcription from RNA polymerase II promoter|GO:0006950=response to stress|GO:0007049=cell cycle|GO:0009410=response to xenobiotic stimul
UKv4_A_23_P336644	TOR1AIP2	torsin A interacting protein 2	GO:0005515(protein binding)|GO:0005783(endoplasmic reticulum)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_24_P74508	SLC25A18	solute carrier family 25 (mitochondrial carrier), member 18	GO:0005488(binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0006810(transport)|GO:0015293(symporter activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P310086	C6orf65	chromosome 6 open reading frame 65	
