Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_23_P407132	KIRREL3	kin of IRRE like 3 (Drosophila)	GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005886(plasma membrane)|GO:0016021(integral to membrane)|GO:0030097(hemopoiesis)|GO:0030165(PDZ domain binding)
UKv4_A_23_P250042	SELT	selenoprotein T	GO:0001514(selenocysteine incorporation)|GO:0008430(selenium binding)|GO:0045454(cell redox homeostasis)
UKv4_A_24_P280274	S100A7A	S100 calcium binding protein A7A	GO:0005509(calcium ion binding)|GO:0008270(zinc ion binding)
UKv4_A_32_P105381	FAM47B	family with sequence similarity 47, member B	
UKv4_A_23_P207507	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	GO:0006810=transport|GO:0006810=transport|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005887=integral to plasma membrane|GO:0005624=membrane fraction|GO:0000166=nucleotide binding|GO:0042626=ATPase activity, coupled to transmembrane movement o
UKv4_A_24_P165205	MORN1	MORN repeat containing 1	
UKv4_A_23_P50571	KIR2DL2	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2	GO:0004872(receptor activity)|GO:0005887(integral to plasma membrane)|GO:0006955(immune response)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P387000	XKR6	XK, Kell blood group complex subunit-related family, member 6	GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P40919	GPR128	G protein-coupled receptor 128	GO:0004872(receptor activity)|GO:0004930(G-protein coupled receptor activity)|GO:0007165(signal transduction)|GO:0007218(neuropeptide signaling pathway)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P203137	UBE4A	ubiquitination factor E4A (UFD2 homolog, yeast)	GO:0016567=protein ubiquitination|GO:0006511=ubiquitin-dependent protein catabolic process|GO:0000151=ubiquitin ligase complex|GO:0005515=protein binding|GO:0004842=ubiquitin-protein ligase activity
UKv4_A_23_P372255	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B	GO:0000166(nucleotide binding)|GO:0005516(calmodulin binding)|GO:0005524(ATP binding)|GO:0007165(signal transduction)|GO:0008440(inositol trisphosphate 3-kinase activity)|GO:0016301(kinase activity)|GO:0016740(transferase activity)
UKv4_A_23_P90659	LAPTM4A	lysosomal-associated protein transmembrane 4 alpha	GO:0005794(Golgi apparatus)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P64873	DCN	decorin	GO:0005515(protein binding)|GO:0005578(proteinaceous extracellular matrix)|GO:0009887(organ morphogenesis)
UKv4_A_23_P70318	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	GO:0008152(metabolic process)|GO:0009117(nucleotide metabolic process)|GO:0016787(hydrolase activity)
UKv4_A_23_P256542	C3orf28	chromosome 3 open reading frame 28	GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P155979	EGF	epidermal growth factor (beta-urogastrone)	GO:0006260=DNA replication|GO:0000186=activation of MAPKK activity|GO:0000187=activation of MAPK activity|GO:0001525=angiogenesis|GO:0007165=signal transduction|GO:0007173=epidermal growth factor receptor signaling pathway|GO:0021940=positive regulation o
UKv4_A_23_P49559	GPR142	G protein-coupled receptor 142	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P8241	FBXO5	F-box protein 5	GO:0007049=cell cycle|GO:0007067=mitosis|GO:0007346=regulation of mitotic cell cycle|GO:0051301=cell division|GO:0051436=negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle|GO:0051437=positive regulation of ubiquitin-protein
UKv4_A_23_P129101	HEXA	hexosaminidase A (alpha polypeptide)	GO:0001501(skeletal development)|GO:0004563(beta-N-acetylhexosaminidase activity)|GO:0005764(lysosome)|GO:0005975(carbohydrate metabolic process)|GO:0006687(glycosphingolipid metabolic process)|GO:0006689(ganglioside catabolic process)|GO:0007040(lysosome
UKv4_A_32_P468743	ODF3L1	outer dense fiber of sperm tails 3-like 1	
UKv4_A_23_P112296	DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	GO:0055114=oxidation reduction|GO:0006548=histidine catabolic process|GO:0007268=synaptic transmission|GO:0009987=cellular process|GO:0042423=catecholamine biosynthetic process|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005576=extracellular r
UKv4_A_23_P212706	ATG3	ATG3 autophagy related 3 homolog (S. cerevisiae)	GO:0000153(cytoplasmic ubiquitin ligase complex)|GO:0005829(cytosol)|GO:0006464(protein modification process)|GO:0006914(autophagy)|GO:0008639(small protein conjugating enzyme activity)|GO:0015031(protein transport)|GO:0016567(protein ubiquitination)|GO:0
UKv4_A_23_P65532	PELI2	pellino homolog 2 (Drosophila)	GO:0005515=protein binding
UKv4_A_23_P306867	NR4A3	nuclear receptor subfamily 4, group A, member 3	GO:0001707(mesoderm formation)|GO:0003700(transcription factor activity)|GO:0003707(steroid hormone receptor activity)|GO:0004879(ligand-dependent nuclear receptor activity)|GO:0004887(thyroid hormone receptor activity)|GO:0005488(binding)|GO:0005634(nucl
UKv4_A_32_P85106	C6orf118	chromosome 6 open reading frame 118	
UKv4_A_24_P935276	ZNF766	zinc finger protein 766	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P128706	DYNC1H1	dynein, cytoplasmic 1, heavy chain 1	GO:0007018=microtubule-based movement|GO:0007018=microtubule-based movement|GO:0007052=mitotic spindle organization and biogenesis|GO:0005868=cytoplasmic dynein complex|GO:0005737=cytoplasm|GO:0005874=microtubule|GO:0030286=dynein complex|GO:0000166=nucle
UKv4_A_24_P45476	XCL1	chemokine (C motif) ligand 1	GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006874(calcium ion homeostasis)|GO:0006935(chemotaxis)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0008009(chemokine activity)
UKv4_A_24_P120251	TM4SF18	transmembrane 4 L six family member 18	GO:0016020=membrane|GO:0016021=integral to membrane
UKv4_A_23_P132438	MSL2L1	male-specific lethal 2-like 1 (Drosophila)	GO:0005515=protein binding|GO:0046872=metal ion binding|GO:0008270=zinc ion binding
UKv4_A_23_P31984	ACTL7A	actin-like 7A	GO:0001673=male germ cell nucleus|GO:0005737=cytoplasm|GO:0005856=cytoskeleton|GO:0009434=microtubule-based flagellum|GO:0005515=protein binding|GO:0005200=structural constituent of cytoskeleton
UKv4_A_23_P4082	CCT6B	chaperonin containing TCP1, subunit 6B (zeta 2)	GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0006457(protein folding)|GO:0007283(spermatogenesis)|GO:0008565(protein transporter activity)|GO:0051082(unfolded protein binding)|GO:0051131(chaperone-mediated protein complex assembly)
UKv4_A_23_P215875	WDSOF1	WD repeats and SOF1 domain containing	
UKv4_A_23_P103256	CFHR3	complement factor H-related 3	GO:0005576=extracellular region|GO:0005615=extracellular space
UKv4_A_23_P31866	MED30	mediator complex subunit 30	GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0006367=transcription initiation from RNA polymerase II promoter|GO:0030521=androgen receptor signaling pathway|GO:0000119=mediator complex|GO:0005634=nucleus|GO:0003712=tra
UKv4_A_23_P162300	IRAK3	interleukin-1 receptor-associated kinase 3	GO:0007165=signal transduction|GO:0006468=protein amino acid phosphorylation|GO:0019221=cytokine and chemokine mediated signaling pathway|GO:0043244=regulation of protein complex disassembly|GO:0000166=nucleotide binding|GO:0000287=magnesium ion binding|G
UKv4_A_23_P85941	ALX3	aristaless-like homeobox 3	GO:0006355=regulation of transcription, DNA-dependent|GO:0007275=multicellular organismal development|GO:0005634=nucleus|GO:0003700=transcription factor activity|GO:0043565=sequence-specific DNA binding
UKv4_A_32_P105549	ANXA8	annexin A8	GO:0005509(calcium ion binding)|GO:0005544(calcium-dependent phospholipid binding)|GO:0007596(blood coagulation)
UKv4_A_23_P162970	IPO4	importin 4	GO:0000059=protein import into nucleus, docking|GO:0006644=phospholipid metabolic process|GO:0006886=intracellular protein transport|GO:0016042=lipid catabolic process|GO:0005634=nucleus|GO:0005643=nuclear pore|GO:0005737=cytoplasm|GO:0005515=protein bind
UKv4_A_23_P9255	SYK	spleen tyrosine kinase	GO:0001820=serotonin secretion|GO:0006461=protein complex assembly|GO:0007159=leukocyte adhesion|GO:0007167=enzyme linked receptor protein signaling pathway|GO:0007229=integrin-mediated signaling pathway|GO:0007242=intracellular signaling cascade|GO:00072
UKv4_A_23_P41487	TBC1D9	TBC1 domain family, member 9 (with GRAM domain)	GO:0032313=regulation of Rab GTPase activity|GO:0005622=intracellular|GO:0005509=calcium ion binding|GO:0005096=GTPase activator activity|GO:0005097=Rab GTPase activator activity
UKv4_A_23_P131348	THUMPD2	THUMP domain containing 2	GO:0003676(nucleic acid binding)|GO:0008152(metabolic process)|GO:0008168(methyltransferase activity)|GO:0016740(transferase activity)|GO:0032259(methylation)
UKv4_A_23_P370569	FLJ32549	hypothetical protein FLJ32549	
UKv4_A_24_P170983	ESPNL	espin-like	
UKv4_A_23_P144578	GNPDA2	glucosamine-6-phosphate deaminase 2	GO:0004342(glucosamine-6-phosphate deaminase activity)|GO:0005975(carbohydrate metabolic process)|GO:0006044(N-acetylglucosamine metabolic process)|GO:0016853(isomerase activity)
UKv4_A_23_P90484	SARS2	seryl-tRNA synthetase 2, mitochondrial	GO:0000166(nucleotide binding)|GO:0004828(serine-tRNA ligase activity)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005739(mitochondrion)|GO:0006434(seryl-tRNA aminoacylation)|GO:0016874(ligase activity)
UKv4_A_23_P115190	NGF	nerve growth factor (beta polypeptide)	GO:0007169=transmembrane receptor protein tyrosine kinase signaling pathway|GO:0007265=Ras protein signal transduction|GO:0007422=peripheral nervous system development|GO:0019233=sensory perception of pain|GO:0032455=nerve growth factor processing|GO:0045
UKv4_A_24_P896381	CCDC57	coiled-coil domain containing 57	
UKv4_A_24_P912048	MGC50722	hypothetical MGC50722	
UKv4_A_23_P344408	CSHL1	chorionic somatomammotropin hormone-like 1	GO:0005179(hormone activity)|GO:0005576(extracellular region)|GO:0008150(biological_process)
UKv4_A_24_P216456	MAP1LC3C	microtubule-associated protein 1 light chain 3 gamma	GO:0005776(autophagic vacuole)|GO:0005874(microtubule)|GO:0006512(ubiquitin cycle)|GO:0006914(autophagy)|GO:0031090(organelle membrane)
UKv4_A_23_P254472	C6orf211	chromosome 6 open reading frame 211	GO:0005515(protein binding)
UKv4_A_23_P125286	OR52A1	olfactory receptor, family 52, subfamily A, member 1	GO:0004984(olfactory receptor activity)|GO:0005887(integral to plasma membrane)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0007608(sensory perception of smell)|GO:0016020(membrane)|GO:0050896(respon
UKv4_A_23_P372874	S100A13	S100 calcium binding protein A13	GO:0005509(calcium ion binding)|GO:0005575(cellular_component)|GO:0030154(cell differentiation)
UKv4_A_24_P331537	MAGEA5	melanoma antigen family A, 5	GO:0008150=biological_process|GO:0005575=cellular_component|GO:0003674=molecular_function
UKv4_A_24_P64344	BLNK	B-cell linker	GO:0005068(transmembrane receptor protein tyrosine kinase adaptor protein activity)|GO:0005070(SH3/SH2 adaptor activity)|GO:0005622(intracellular)|GO:0005737(cytoplasm)|GO:0006954(inflammatory response)|GO:0006959(humoral immune response)|GO:0007242(intra
UKv4_A_23_P388670	LTA4H	leukotriene A4 hydrolase	GO:0004179(membrane alanyl aminopeptidase activity)|GO:0004301(epoxide hydrolase activity)|GO:0005515(protein binding)|GO:0006508(proteolysis)|GO:0006954(inflammatory response)|GO:0008237(metallopeptidase activity)|GO:0008270(zinc ion binding)|GO:0016787(
UKv4_A_23_P53530	MTERFD3	MTERF domain containing 3	GO:0005739(mitochondrion)|GO:0006350(transcription)|GO:0006353(transcription termination)|GO:0006355(regulation of transcription, DNA-dependent)
UKv4_A_23_P319013	ZNF383	zinc finger protein 383	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P92999	CDH9	cadherin 9, type 2 (T1-cadherin)	GO:0003674(molecular_function)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0007156(homophilic cell adhesion)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_24_P272290	C6orf145	chromosome 6 open reading frame 145	
UKv4_A_23_P87902	DYRK4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	GO:0000166(nucleotide binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0004713(protein-tyrosine kinase activity)|GO:0005524(ATP binding)|GO:0005575(cellular_component)|GO:0006468(protein amino acid phosphorylation)|GO:0016740(transferase a
UKv4_A_24_P50248	FAM110C	family with sequence similarity 110, member C	
UKv4_A_24_P69439	SLC25A32	solute carrier family 25, member 32	GO:0005215(transporter activity)|GO:0005488(binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0006810(transport)|GO:0008517(folic acid transporter activity)|GO:0015884(folic acid transport)|GO:0016020(membrane)|GO:0016021(inte
UKv4_A_23_P309967	DCTN5	dynactin 5 (p25)	GO:0005737=cytoplasm|GO:0005856=cytoskeleton|GO:0008415=acyltransferase activity|GO:0016740=transferase activity
UKv4_A_23_P83590	AGXT	alanine-glyoxylate aminotransferase	GO:0004760(serine-pyruvate transaminase activity)|GO:0005515(protein binding)|GO:0005739(mitochondrion)|GO:0005777(peroxisome)|GO:0006625(protein targeting to peroxisome)|GO:0008152(metabolic process)|GO:0008453(alanine-glyoxylate transaminase activity)|G
UKv4_A_23_P151895	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	GO:0043569=negative regulation of insulin-like growth factor receptor signaling pathway|GO:0005576=extracellular region|GO:0005578=proteinaceous extracellular matrix|GO:0005615=extracellular space|GO:0044420=extracellular matrix part|GO:0004035=alkaline p
UKv4_A_23_P143365	CST9L	cystatin 9-like	GO:0005576=extracellular region|GO:0004869=cysteine protease inhibitor activity
UKv4_A_23_P33720	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	GO:0000049(tRNA binding)|GO:0000166(nucleotide binding)|GO:0004826(phenylalanine-tRNA ligase activity)|GO:0005524(ATP binding)|GO:0005625(soluble fraction)|GO:0005737(cytoplasm)|GO:0005739(mitochondrion)|GO:0006432(phenylalanyl-tRNA aminoacylation)|GO:000
UKv4_A_23_P203075	USP28	ubiquitin specific peptidase 28	GO:0006511=ubiquitin-dependent protein catabolic process|GO:0004221=ubiquitin thiolesterase activity|GO:0008234=cysteine-type peptidase activity
UKv4_A_24_P37887	GPR150	G protein-coupled receptor 150	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P207154	CSH2	chorionic somatomammotropin hormone 2	GO:0005131(growth hormone receptor binding)|GO:0005179(hormone activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0007565(pregnancy)
UKv4_A_32_P155506	UBE2E2	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	GO:0032020=ISG15-protein conjugation|GO:0051246=regulation of protein metabolic process|GO:0004842=ubiquitin-protein ligase activity|GO:0016874=ligase activity|GO:0042296=ISG15 ligase activity
UKv4_A_23_P342709	FBXO15	F-box protein 15	GO:0005515(protein binding)|GO:0006512(ubiquitin cycle)|GO:0019005(SCF ubiquitin ligase complex)
UKv4_A_23_P89018	FLYWCH1	FLYWCH-type zinc finger 1	
UKv4_A_32_P514790	UNK	unkempt homolog (Drosophila)	GO:0003676(nucleic acid binding)|GO:0005515(protein binding)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P332190	IRF8	interferon regulatory factor 8	GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0003705(RNA polymerase II transcription factor activity, enhancer binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of
UKv4_A_23_P70968	HOXA7	homeobox A7	GO:0003700(transcription factor activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicellular organismal development)|GO:0043565(sequence-specific DNA binding)
UKv4_A_23_P7535	HRH2	histamine receptor H2	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0004969(histamine receptor activity)|GO:0005887(integral to plasma membrane)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor pr
UKv4_A_23_P416212	HSPB9	heat shock protein, alpha-crystallin-related, B9	GO:0005515(protein binding)
UKv4_A_24_P73109	LOC89944	hypothetical protein BC008326	GO:0003824(catalytic activity)|GO:0004565(beta-galactosidase activity)|GO:0005975(carbohydrate metabolic process)|GO:0009341(beta-galactosidase complex)|GO:0043169(cation binding)
UKv4_A_23_P355364	LRCH3	leucine-rich repeats and calponin homology (CH) domain containing 3	GO:0005515(protein binding)
UKv4_A_23_P156327	TGFBI	transforming growth factor, beta-induced, 68kDa	GO:0007162=negative regulation of cell adhesion|GO:0007601=visual perception|GO:0008283=cell proliferation|GO:0050896=response to stimulus|GO:0005576=extracellular region|GO:0005578=proteinaceous extracellular matrix|GO:0005615=extracellular space|GO:0005
UKv4_A_23_P364517	SELK	selenoprotein K	GO:0006979=response to oxidative stress|GO:0005783=endoplasmic reticulum|GO:0008430=selenium binding
UKv4_A_23_P112634	C4orf34	chromosome 4 open reading frame 34	GO:0005515(protein binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P402899	SLFN5	schlafen family member 5	GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0030154(cell differentiation)
UKv4_A_23_P202104	PPIF	peptidylprolyl isomerase F (cyclophilin F)	GO:0006457=protein folding|GO:0005739=mitochondrion|GO:0005624=membrane fraction|GO:0005759=mitochondrial matrix|GO:0003755=peptidyl-prolyl cis-trans isomerase activity|GO:0016853=isomerase activity|GO:0042277=peptide binding
UKv4_A_23_P42112	GPR31	G protein-coupled receptor 31	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0005887(integral to plasma membrane)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)
UKv4_A_23_P14769	FES	feline sarcoma oncogene	GO:0006468=protein amino acid phosphorylation|GO:0006468=protein amino acid phosphorylation|GO:0007275=multicellular organismal development|GO:0008283=cell proliferation|GO:0000166=nucleotide binding|GO:0005515=protein binding|GO:0004713=protein tyrosine
UKv4_A_23_P42045	ORC3L	origin recognition complex, subunit 3-like (yeast)	GO:0003677(DNA binding)|GO:0003688(DNA replication origin binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005664(nuclear origin of replication recognition complex)|GO:0006260(DNA replication)
UKv4_A_24_P626931	C6orf157	chromosome 6 open reading frame 157	
UKv4_A_23_P128868	OR11H12	olfactory receptor, family 11, subfamily H, member 12	GO:0004984(olfactory receptor activity)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016021(integral to membrane)
UKv4_A_24_P418408	FAM89A	family with sequence similarity 89, member A	
UKv4_A_32_P410753	CXorf59	chromosome X open reading frame 59	GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P9018	DEFB104A	defensin, beta 104A	GO:0042742(defense response to bacterium)
UKv4_A_23_P36972	ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)	GO:0001843(neural tube closure)|GO:0003677(DNA binding)|GO:0005249(voltage-gated potassium channel activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006813(potassium ion transport)|GO:0007275(multicellular organismal
UKv4_A_23_P332713	KIAA1086	KIAA1086	GO:0003676(nucleic acid binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0008270(zinc ion binding)
UKv4_A_23_P115703	PCGF6	polycomb group ring finger 6	GO:0000074(regulation of progression through cell cycle)|GO:0003700(transcription factor activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding
UKv4_A_23_P54840	MT1A	metallothionein 1A	GO:0005507(copper ion binding)|GO:0005737(cytoplasm)|GO:0008150(biological_process)|GO:0008270(zinc ion binding)|GO:0046870(cadmium ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P9485	ORM2	orosomucoid 2	GO:0005488(binding)|GO:0005615(extracellular space)|GO:0006953(acute-phase response)
UKv4_A_23_P29083	SLC19A1	solute carrier family 19 (folate transporter), member 1	GO:0005542(folic acid binding)|GO:0005624(membrane fraction)|GO:0005887(integral to plasma membrane)|GO:0006810(transport)|GO:0008517(folic acid transporter activity)|GO:0008518(reduced folate carrier activity)|GO:0015350(methotrexate transporter activity
UKv4_A_23_P112327	OBP2A	odorant binding protein 2A	GO:0005215(transporter activity)|GO:0005488(binding)|GO:0005549(odorant binding)|GO:0005575(cellular_component)|GO:0006810(transport)|GO:0007608(sensory perception of smell)|GO:0050896(response to stimulus)
UKv4_A_23_P139418	GALNTL4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4	GO:0004653(polypeptide N-acetylgalactosaminyltransferase activity)|GO:0005509(calcium ion binding)|GO:0005529(sugar binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)|GO:0030145(ma
UKv4_A_23_P145197	BYSL	bystin-like	GO:0042254=ribosome biogenesis|GO:0007155=cell adhesion|GO:0007565=female pregnancy|GO:0005634=nucleus|GO:0005737=cytoplasm
UKv4_A_24_P204244	ANXA2P1	annexin A2 pseudogene 1	
UKv4_A_23_P134041	TBX18	T-box 18	GO:0001756(somitogenesis)|GO:0002053(positive regulation of mesenchymal cell proliferation)|GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicell
UKv4_A_32_P4262	C20orf26	chromosome 20 open reading frame 26	
UKv4_A_23_P61967	RBMXL2	RNA binding motif protein, X-linked-like 2	GO:0030529=ribonucleoprotein complex|GO:0005634=nucleus|GO:0000166=nucleotide binding|GO:0003723=RNA binding
UKv4_A_23_P320290	LOC152485	hypothetical protein LOC152485	GO:0003676(nucleic acid binding)|GO:0005622(intracellular)|GO:0008270(zinc ion binding)
UKv4_A_23_P14543	ALKBH1	alkB, alkylation repair homolog 1 (E. coli)	GO:0006307(DNA dealkylation)
UKv4_A_32_P478023	NPAS4	neuronal PAS domain protein 4	GO:0003677(DNA binding)|GO:0004871(signal transducer activity)|GO:0005634(nucleus)|GO:0005667(transcription factor complex)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007165(signal transduction)|GO:0016563(transcr
UKv4_A_23_P84596	MGC29506	hypothetical protein MGC29506	GO:0005783(endoplasmic reticulum)
UKv4_A_24_P177236	CABP7	calcium binding protein 7	GO:0005509(calcium ion binding)
UKv4_A_32_P148538	LPPR4	plasticity related gene 1	
UKv4_A_24_P177531	PCDHGB8P	protocadherin gamma subfamily B, 8 pseudogene	
UKv4_A_23_P40880	CMTM8	CKLF-like MARVEL transmembrane domain containing 8	GO:0006935=chemotaxis|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005615=extracellular space|GO:0005125=cytokine activity
UKv4_A_24_P43826	EBF2	early B-cell factor 2	GO:0003677(DNA binding)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicellular organismal development)|GO:0008270(zinc ion binding)|GO:0030528(transcription regulator activity)|GO:0046872(metal ion binding)
UKv4_A_32_P43465	ZNF182	zinc finger protein 182	GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_24_P351466	KIAA1524	KIAA1524	GO:0005488(binding)|GO:0005737(cytoplasm)
UKv4_A_23_P421526	ODF4	outer dense fiber of sperm tails 4	
UKv4_A_23_P106103	AKAP5	A kinase (PRKA) anchor protein 5	GO:0007165=signal transduction|GO:0007165=signal transduction|GO:0006605=protein targeting|GO:0007268=synaptic transmission|GO:0005886=plasma membrane|GO:0005515=protein binding|GO:0051018=protein kinase A binding|GO:0005516=calmodulin binding
UKv4_A_23_P161386	SLIT1	slit homolog 1 (Drosophila)	GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005615(extracellular space)|GO:0007275(multicellular organismal development)|GO:0007399(nervous system development)|GO:0007411(axon guidance)|GO:0007420(brain development)|GO:0030154(cell dif
UKv4_A_23_P127267	LGI1	leucine-rich, glioma inactivated 1	GO:0007399=nervous system development|GO:0008283=cell proliferation|GO:0005576=extracellular region|GO:0005515=protein binding
UKv4_A_23_P23542	C1orf82	chromosome 1 open reading frame 82	GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P13033	RBM4	RNA binding motif protein 4	GO:0006397=mRNA processing|GO:0008380=RNA splicing|GO:0016068=type I hypersensitivity|GO:0005634=nucleus|GO:0005737=cytoplasm|GO:0000166=nucleotide binding|GO:0003723=RNA binding|GO:0046872=metal ion binding|GO:0008270=zinc ion binding
UKv4_A_23_P118615	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016887(ATPase activity)|GO:0042626(ATPase activity, coupled to transmembrane movement of substances)
UKv4_A_23_P102925	PWP2	PWP2 periodic tryptophan protein homolog (yeast)	GO:0004871(signal transducer activity)|GO:0005634(nucleus)|GO:0007165(signal transduction)
UKv4_A_23_P138125	FAIM3	Fas apoptotic inhibitory molecule 3	GO:0006916(anti-apoptosis)|GO:0006955(immune response)|GO:0006968(cellular defense response)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_24_P58037	LOC392288	similar to microtubule-associated proteins 1A/1B light chain 3	
UKv4_A_23_P53288	TMEM4	transmembrane protein 4	GO:0005515(protein binding)|GO:0005783(endoplasmic reticulum)|GO:0005887(integral to plasma membrane)
UKv4_A_23_P91910	PLSCR4	phospholipid scramblase 4	GO:0005509(calcium ion binding)|GO:0007596(blood coagulation)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0017121(phospholipid scrambling)|GO:0017128(phospholipid scramblase activity)
UKv4_A_23_P110362	MAP2K1IP1	mitogen-activated protein kinase kinase 1 interacting protein 1	GO:0000186=activation of MAPKK activity|GO:0016020=membrane|GO:0031902=late endosome membrane|GO:0005515=protein binding|GO:0019209=kinase activator activity
UKv4_A_23_P24104	PLAU	plasminogen activator, urokinase	GO:0007596=blood coagulation|GO:0007165=signal transduction|GO:0006508=proteolysis|GO:0006508=proteolysis|GO:0006935=chemotaxis|GO:0042730=fibrinolysis|GO:0005886=plasma membrane|GO:0005576=extracellular region|GO:0004252=serine-type endopeptidase activit
