================ Training Loss (Thu Sep 25 20:11:58 2025) ================
(epoch: 72, iters: 50, time: 0.306, data: 0.271) D_A: 84.989 G_A: 0.140 cycle_A: 9.262 idt_A: 34.540 D_B: 67.485 G_B: 1.578 cycle_B: 13.811 idt_B: 4.398 median_A: 95.714 median_B: 69.020 
(epoch: 74, iters: 50, time: 0.306, data: 0.314) D_A: 232.586 G_A: 0.043 cycle_A: 8.707 idt_A: 34.065 D_B: 1.861 G_B: 2.665 cycle_B: 13.798 idt_B: 4.368 median_A: 95.773 median_B: 68.218 
(epoch: 76, iters: 50, time: 0.305, data: 0.309) D_A: 389.380 G_A: 6.996 cycle_A: 8.770 idt_A: 34.029 D_B: 132.840 G_B: 0.382 cycle_B: 12.647 idt_B: 4.364 median_A: 95.858 median_B: 68.252 
(epoch: 78, iters: 50, time: 0.306, data: 0.308) D_A: 430.915 G_A: 0.095 cycle_A: 8.562 idt_A: 33.717 D_B: 348.536 G_B: 1.049 cycle_B: 11.741 idt_B: 4.344 median_A: 95.878 median_B: 67.879 
(epoch: 80, iters: 50, time: 0.306, data: 0.311) D_A: 275512.938 G_A: 207.093 cycle_A: 8.597 idt_A: 34.721 D_B: 607.244 G_B: 0.198 cycle_B: 9.351 idt_B: 4.268 median_A: 96.328 median_B: 71.684 
(epoch: 82, iters: 50, time: 0.305, data: 0.294) D_A: 79.854 G_A: 168.919 cycle_A: 11.240 idt_A: 38.148 D_B: 30.954 G_B: 0.714 cycle_B: 10.587 idt_B: 4.251 median_A: 96.279 median_B: 96.215 
(epoch: 84, iters: 50, time: 0.306, data: 0.299) D_A: 9.766 G_A: 4.723 cycle_A: 8.734 idt_A: 37.428 D_B: 1.567 G_B: 0.458 cycle_B: 9.206 idt_B: 4.241 median_A: 96.261 median_B: 92.112 
(epoch: 86, iters: 50, time: 0.307, data: 0.271) D_A: 24.979 G_A: 0.902 cycle_A: 8.353 idt_A: 36.623 D_B: 22.825 G_B: 0.019 cycle_B: 9.106 idt_B: 4.190 median_A: 96.250 median_B: 89.782 
(epoch: 88, iters: 50, time: 0.306, data: 0.282) D_A: 2.598 G_A: 0.210 cycle_A: 8.253 idt_A: 36.307 D_B: 0.200 G_B: 0.161 cycle_B: 8.679 idt_B: 4.177 median_A: 96.239 median_B: 89.124 
(epoch: 90, iters: 50, time: 0.307, data: 0.322) D_A: 3.168 G_A: 0.027 cycle_A: 8.163 idt_A: 35.660 D_B: 7.671 G_B: 0.002 cycle_B: 8.572 idt_B: 4.159 median_A: 96.223 median_B: 87.832 
(epoch: 92, iters: 50, time: 0.307, data: 0.298) D_A: 2.035 G_A: 0.001 cycle_A: 8.057 idt_A: 36.141 D_B: 13.386 G_B: 0.006 cycle_B: 8.488 idt_B: 4.185 median_A: 96.212 median_B: 88.575 
(epoch: 94, iters: 50, time: 0.306, data: 0.285) D_A: 17.675 G_A: 0.078 cycle_A: 8.059 idt_A: 35.619 D_B: 19.312 G_B: 0.002 cycle_B: 7.897 idt_B: 4.167 median_A: 96.200 median_B: 87.301 
(epoch: 96, iters: 50, time: 0.306, data: 0.334) D_A: 1.820 G_A: 3.790 cycle_A: 8.897 idt_A: 34.693 D_B: 26.093 G_B: 0.883 cycle_B: 7.972 idt_B: 4.153 median_A: 96.192 median_B: 84.906 
(epoch: 98, iters: 50, time: 0.306, data: 0.381) D_A: 1.158 G_A: 0.187 cycle_A: 8.227 idt_A: 33.228 D_B: 30.484 G_B: 0.013 cycle_B: 7.527 idt_B: 4.161 median_A: 96.182 median_B: 80.712 
(epoch: 100, iters: 50, time: 0.307, data: 0.331) D_A: 1.150 G_A: 1.490 cycle_A: 8.238 idt_A: 31.331 D_B: 39.924 G_B: 0.827 cycle_B: 7.407 idt_B: 4.145 median_A: 96.181 median_B: 75.332 
(epoch: 102, iters: 50, time: 0.306, data: 0.355) D_A: 1.642 G_A: 1.797 cycle_A: 8.291 idt_A: 29.386 D_B: 44.145 G_B: 0.085 cycle_B: 8.790 idt_B: 4.136 median_A: 96.160 median_B: 70.104 
(epoch: 104, iters: 50, time: 0.307, data: 0.345) D_A: 5.365 G_A: 0.864 cycle_A: 8.141 idt_A: 27.209 D_B: 47.273 G_B: 0.167 cycle_B: 9.168 idt_B: 4.092 median_A: 96.143 median_B: 62.988 
(epoch: 106, iters: 50, time: 0.305, data: 0.346) D_A: 0.917 G_A: 0.841 cycle_A: 7.980 idt_A: 25.302 D_B: 65.077 G_B: 0.210 cycle_B: 7.473 idt_B: 4.100 median_A: 96.130 median_B: 57.146 
(epoch: 108, iters: 50, time: 0.307, data: 0.338) D_A: 4.634 G_A: 1.774 cycle_A: 8.106 idt_A: 23.691 D_B: 57.948 G_B: 0.064 cycle_B: 7.453 idt_B: 4.078 median_A: 96.112 median_B: 52.152 
(epoch: 110, iters: 50, time: 0.307, data: 0.322) D_A: 0.352 G_A: 0.342 cycle_A: 8.152 idt_A: 22.290 D_B: 75.285 G_B: 0.291 cycle_B: 7.397 idt_B: 4.046 median_A: 96.109 median_B: 47.738 
(epoch: 112, iters: 50, time: 0.306, data: 0.310) D_A: 0.655 G_A: 0.274 cycle_A: 8.126 idt_A: 21.054 D_B: 68.435 G_B: 0.293 cycle_B: 7.467 idt_B: 4.041 median_A: 96.094 median_B: 43.782 
(epoch: 114, iters: 50, time: 0.307, data: 0.311) D_A: 1.091 G_A: 2.679 cycle_A: 8.277 idt_A: 19.940 D_B: 66.327 G_B: 0.371 cycle_B: 6.986 idt_B: 4.032 median_A: 96.090 median_B: 40.512 
(epoch: 116, iters: 50, time: 0.306, data: 0.308) D_A: 0.987 G_A: 0.014 cycle_A: 8.070 idt_A: 18.923 D_B: 66.916 G_B: 0.248 cycle_B: 7.317 idt_B: 4.022 median_A: 96.075 median_B: 37.182 
(epoch: 118, iters: 50, time: 0.307, data: 0.309) D_A: 13.739 G_A: 0.345 cycle_A: 8.051 idt_A: 18.021 D_B: 73.359 G_B: 0.224 cycle_B: 6.976 idt_B: 4.017 median_A: 96.059 median_B: 34.497 
(epoch: 120, iters: 50, time: 0.306, data: 0.308) D_A: 9.821 G_A: 0.872 cycle_A: 8.002 idt_A: 17.187 D_B: 75.856 G_B: 0.008 cycle_B: 6.699 idt_B: 3.986 median_A: 96.043 median_B: 32.110 
