================ Training Loss (Wed Oct  1 14:04:46 2025) ================
(epoch: 605, iters: 10, time: 0.227, data: 0.500) D_A: 3.540 G_A: 0.170 cycle_A: 1.034 idt_A: 1.900 D_B: 6.654 G_B: 1.535 cycle_B: 5.691 idt_B: 0.878 median_A: 11.117 median_B: 22.542 
(epoch: 614, iters: 10, time: 0.226, data: 0.224) D_A: 0.338 G_A: 0.455 cycle_A: 1.335 idt_A: 1.894 D_B: 5.022 G_B: 1.933 cycle_B: 5.300 idt_B: 1.257 median_A: 11.269 median_B: 22.279 
(epoch: 623, iters: 10, time: 0.227, data: 0.230) D_A: 1.444 G_A: 1.189 cycle_A: 0.966 idt_A: 1.901 D_B: 0.847 G_B: 0.009 cycle_B: 1.927 idt_B: 0.937 median_A: 11.183 median_B: 22.263 
(epoch: 632, iters: 10, time: 0.226, data: 0.241) D_A: 9.606 G_A: 0.438 cycle_A: 1.089 idt_A: 2.013 D_B: 1.977 G_B: 6.536 cycle_B: 2.727 idt_B: 0.918 median_A: 11.544 median_B: 21.994 
(epoch: 641, iters: 10, time: 0.227, data: 0.258) D_A: 4.354 G_A: 0.038 cycle_A: 2.309 idt_A: 2.202 D_B: 3.749 G_B: 0.071 cycle_B: 6.983 idt_B: 1.040 median_A: 11.218 median_B: 21.729 
(epoch: 650, iters: 10, time: 0.228, data: 0.238) D_A: 2.031 G_A: 0.837 cycle_A: 1.288 idt_A: 2.003 D_B: 11.748 G_B: 24.605 cycle_B: 5.124 idt_B: 0.852 median_A: 12.242 median_B: 21.288 
(epoch: 659, iters: 10, time: 0.228, data: 0.264) D_A: 1.427 G_A: 0.201 cycle_A: 1.152 idt_A: 2.046 D_B: 0.152 G_B: 0.217 cycle_B: 6.770 idt_B: 0.914 median_A: 11.095 median_B: 21.763 
(epoch: 668, iters: 10, time: 0.222, data: 0.264) D_A: 4.450 G_A: 2.210 cycle_A: 1.525 idt_A: 1.924 D_B: 0.503 G_B: 0.006 cycle_B: 7.346 idt_B: 0.964 median_A: 11.083 median_B: 21.001 
(epoch: 677, iters: 10, time: 0.228, data: 0.250) D_A: 3.076 G_A: 0.066 cycle_A: 1.695 idt_A: 1.960 D_B: 0.796 G_B: 3.563 cycle_B: 4.788 idt_B: 0.829 median_A: 12.691 median_B: 20.461 
(epoch: 686, iters: 10, time: 0.229, data: 0.282) D_A: 0.464 G_A: 3.781 cycle_A: 1.738 idt_A: 1.960 D_B: 10.090 G_B: 0.349 cycle_B: 5.531 idt_B: 0.949 median_A: 12.748 median_B: 21.257 
(epoch: 695, iters: 10, time: 0.225, data: 0.265) D_A: 0.452 G_A: 2.267 cycle_A: 2.057 idt_A: 1.850 D_B: 9.315 G_B: 0.098 cycle_B: 5.080 idt_B: 0.980 median_A: 12.394 median_B: 20.820 
(epoch: 704, iters: 10, time: 0.226, data: 0.305) D_A: 2.194 G_A: 0.234 cycle_A: 1.431 idt_A: 1.880 D_B: 3.230 G_B: 2.349 cycle_B: 4.718 idt_B: 1.010 median_A: 11.936 median_B: 20.421 
(epoch: 713, iters: 10, time: 0.226, data: 0.290) D_A: 0.938 G_A: 0.743 cycle_A: 1.210 idt_A: 2.008 D_B: 2.660 G_B: 0.823 cycle_B: 4.624 idt_B: 1.004 median_A: 12.912 median_B: 19.906 
(epoch: 722, iters: 10, time: 0.226, data: 0.210) D_A: 1.852 G_A: 5.014 cycle_A: 5.101 idt_A: 2.063 D_B: 3.707 G_B: 1.564 cycle_B: 17.286 idt_B: 0.936 median_A: 13.851 median_B: 19.063 
(epoch: 731, iters: 10, time: 0.225, data: 0.222) D_A: 0.837 G_A: 3.423 cycle_A: 1.764 idt_A: 2.001 D_B: 0.133 G_B: 0.467 cycle_B: 3.629 idt_B: 0.979 median_A: 11.161 median_B: 19.455 
(epoch: 740, iters: 10, time: 0.225, data: 0.228) D_A: 2.389 G_A: 6.950 cycle_A: 2.722 idt_A: 1.950 D_B: 0.354 G_B: 0.028 cycle_B: 3.383 idt_B: 0.830 median_A: 11.410 median_B: 18.588 
(epoch: 749, iters: 10, time: 0.225, data: 0.228) D_A: 0.521 G_A: 0.399 cycle_A: 2.430 idt_A: 1.941 D_B: 0.491 G_B: 0.327 cycle_B: 2.850 idt_B: 0.828 median_A: 11.451 median_B: 18.301 
