================ Training Loss (Fri Sep 19 16:46:06 2025) ================
(epoch: 72, iters: 50, time: 0.037, data: 0.122) D_A: 0.357 G_A: 0.000 cycle_A: 4.197 idt_A: 1.929 D_B: 1.005 G_B: 0.712 cycle_B: 4.040 idt_B: 2.269 median_A: 3.384 median_B: 4.174 
(epoch: 74, iters: 50, time: 0.037, data: 0.123) D_A: 0.840 G_A: 0.047 cycle_A: 4.449 idt_A: 1.874 D_B: 1.602 G_B: 0.749 cycle_B: 4.090 idt_B: 2.458 median_A: 3.186 median_B: 4.266 
(epoch: 76, iters: 50, time: 0.037, data: 0.126) D_A: 0.865 G_A: 0.014 cycle_A: 3.768 idt_A: 1.857 D_B: 2.072 G_B: 1.812 cycle_B: 4.027 idt_B: 1.527 median_A: 3.000 median_B: 4.001 
(epoch: 78, iters: 50, time: 0.037, data: 0.128) D_A: 0.456 G_A: 0.024 cycle_A: 4.015 idt_A: 1.828 D_B: 1.011 G_B: 0.042 cycle_B: 4.060 idt_B: 2.023 median_A: 3.002 median_B: 4.206 
(epoch: 80, iters: 50, time: 0.037, data: 0.125) D_A: 1.584 G_A: 0.604 cycle_A: 2.927 idt_A: 1.806 D_B: 0.948 G_B: 0.000 cycle_B: 3.984 idt_B: 1.824 median_A: 2.905 median_B: 4.140 
(epoch: 82, iters: 50, time: 0.037, data: 0.126) D_A: 0.453 G_A: 0.025 cycle_A: 3.036 idt_A: 1.816 D_B: 0.999 G_B: 0.003 cycle_B: 4.039 idt_B: 1.414 median_A: 2.883 median_B: 4.084 
(epoch: 84, iters: 50, time: 0.036, data: 0.125) D_A: 0.248 G_A: 0.015 cycle_A: 2.641 idt_A: 1.773 D_B: 1.378 G_B: 0.345 cycle_B: 3.971 idt_B: 1.467 median_A: 2.808 median_B: 4.077 
(epoch: 86, iters: 50, time: 0.037, data: 0.123) D_A: 0.234 G_A: 0.012 cycle_A: 3.718 idt_A: 1.751 D_B: 1.487 G_B: 0.815 cycle_B: 4.000 idt_B: 1.964 median_A: 2.826 median_B: 4.144 
(epoch: 88, iters: 50, time: 0.037, data: 0.133) D_A: 0.295 G_A: 0.020 cycle_A: 3.690 idt_A: 1.749 D_B: 2.135 G_B: 1.137 cycle_B: 4.038 idt_B: 1.712 median_A: 2.819 median_B: 4.241 
(epoch: 90, iters: 50, time: 0.037, data: 0.125) D_A: 0.382 G_A: 0.031 cycle_A: 3.248 idt_A: 1.878 D_B: 1.684 G_B: 0.663 cycle_B: 3.992 idt_B: 1.675 median_A: 2.849 median_B: 4.077 
