================ Training Loss (Sun Sep 21 01:28:48 2025) ================
(epoch: 36, iters: 100, time: 0.231, data: 0.205) D_A: 47.240 G_A: 112.273 cycle_A: 4.942 idt_A: 15.416 D_B: 1.483 G_B: 0.155 cycle_B: 8.231 idt_B: 2.866 median_A: 11.724 median_B: 67.967 
(epoch: 37, iters: 100, time: 0.233, data: 0.253) D_A: 3.257 G_A: 100.203 cycle_A: 4.989 idt_A: 15.008 D_B: 0.353 G_B: 0.374 cycle_B: 7.456 idt_B: 2.621 median_A: 11.692 median_B: 67.904 
(epoch: 38, iters: 100, time: 0.234, data: 0.236) D_A: 72.662 G_A: 137.566 cycle_A: 5.196 idt_A: 15.834 D_B: 3.811 G_B: 1.371 cycle_B: 7.343 idt_B: 2.827 median_A: 11.601 median_B: 68.795 
(epoch: 39, iters: 100, time: 0.235, data: 0.238) D_A: 450.953 G_A: 1630.925 cycle_A: 6.159 idt_A: 15.320 D_B: 1.353 G_B: 0.208 cycle_B: 7.525 idt_B: 2.597 median_A: 11.524 median_B: 71.009 
(epoch: 40, iters: 100, time: 0.236, data: 0.188) D_A: 1745.391 G_A: 774.713 cycle_A: 7.839 idt_A: 14.733 D_B: 0.542 G_B: 0.132 cycle_B: 9.444 idt_B: 2.630 median_A: 11.506 median_B: 68.978 
(epoch: 41, iters: 100, time: 0.236, data: 0.227) D_A: 362.526 G_A: 670.595 cycle_A: 5.887 idt_A: 15.849 D_B: 1.423 G_B: 0.350 cycle_B: 9.978 idt_B: 2.436 median_A: 11.462 median_B: 69.400 
(epoch: 42, iters: 100, time: 0.235, data: 0.176) D_A: 42.622 G_A: 92.783 cycle_A: 5.286 idt_A: 13.810 D_B: 1.372 G_B: 0.019 cycle_B: 9.957 idt_B: 2.481 median_A: 11.378 median_B: 69.512 
(epoch: 43, iters: 100, time: 0.236, data: 0.204) D_A: 497.345 G_A: 209.182 cycle_A: 5.651 idt_A: 12.989 D_B: 6.798 G_B: 0.480 cycle_B: 7.336 idt_B: 2.541 median_A: 11.588 median_B: 69.302 
(epoch: 44, iters: 100, time: 0.236, data: 0.188) D_A: 40.813 G_A: 76.268 cycle_A: 5.352 idt_A: 12.849 D_B: 1.975 G_B: 0.947 cycle_B: 8.476 idt_B: 2.637 median_A: 11.940 median_B: 69.396 
(epoch: 45, iters: 100, time: 0.236, data: 0.212) D_A: 0.461 G_A: 93.169 cycle_A: 6.115 idt_A: 12.400 D_B: 4.261 G_B: 0.597 cycle_B: 8.675 idt_B: 2.326 median_A: 11.509 median_B: 66.995 
(epoch: 46, iters: 100, time: 0.235, data: 0.176) D_A: 7.944 G_A: 139.320 cycle_A: 7.784 idt_A: 14.388 D_B: 1.374 G_B: 2.842 cycle_B: 7.100 idt_B: 2.287 median_A: 11.466 median_B: 68.378 
(epoch: 47, iters: 100, time: 0.236, data: 0.208) D_A: 7.254 G_A: 16.052 cycle_A: 5.296 idt_A: 12.515 D_B: 0.460 G_B: 0.017 cycle_B: 7.343 idt_B: 2.548 median_A: 11.505 median_B: 66.651 
(epoch: 48, iters: 100, time: 0.235, data: 0.211) D_A: 242.765 G_A: 480.705 cycle_A: 5.800 idt_A: 12.508 D_B: 1.249 G_B: 0.141 cycle_B: 10.059 idt_B: 2.127 median_A: 11.402 median_B: 67.837 
(epoch: 49, iters: 100, time: 0.235, data: 0.186) D_A: 28.378 G_A: 94.245 cycle_A: 5.198 idt_A: 12.429 D_B: 0.659 G_B: 0.546 cycle_B: 13.421 idt_B: 2.257 median_A: 11.226 median_B: 68.803 
(epoch: 50, iters: 100, time: 0.236, data: 0.231) D_A: 115.623 G_A: 37.779 cycle_A: 5.233 idt_A: 12.238 D_B: 1.563 G_B: 0.729 cycle_B: 17.612 idt_B: 2.155 median_A: 11.146 median_B: 68.178 
(epoch: 51, iters: 100, time: 0.236, data: 0.207) D_A: 0.509 G_A: 0.238 cycle_A: 5.278 idt_A: 12.078 D_B: 0.101 G_B: 0.421 cycle_B: 9.090 idt_B: 2.418 median_A: 11.371 median_B: 67.723 
(epoch: 52, iters: 100, time: 0.234, data: 0.253) D_A: 2112.691 G_A: 2389.792 cycle_A: 7.085 idt_A: 12.950 D_B: 13.404 G_B: 3.148 cycle_B: 9.823 idt_B: 2.123 median_A: 12.152 median_B: 68.818 
(epoch: 53, iters: 100, time: 0.235, data: 0.242) D_A: 12.873 G_A: 0.001 cycle_A: 5.686 idt_A: 12.354 D_B: 2.076 G_B: 1.068 cycle_B: 12.512 idt_B: 2.120 median_A: 11.675 median_B: 70.571 
(epoch: 54, iters: 100, time: 0.235, data: 0.242) D_A: 17.544 G_A: 21.619 cycle_A: 5.582 idt_A: 12.816 D_B: 0.135 G_B: 0.233 cycle_B: 14.168 idt_B: 2.388 median_A: 11.776 median_B: 70.818 
(epoch: 55, iters: 100, time: 0.235, data: 0.265) D_A: 682.702 G_A: 1290.512 cycle_A: 6.653 idt_A: 12.957 D_B: 0.127 G_B: 0.251 cycle_B: 10.954 idt_B: 1.963 median_A: 11.627 median_B: 71.184 
(epoch: 56, iters: 100, time: 0.234, data: 0.215) D_A: 5.053 G_A: 10.932 cycle_A: 5.219 idt_A: 11.934 D_B: 131.980 G_B: 0.237 cycle_B: 12.736 idt_B: 2.066 median_A: 12.484 median_B: 71.045 
(epoch: 57, iters: 100, time: 0.234, data: 0.216) D_A: 1.290 G_A: 4.608 cycle_A: 4.949 idt_A: 11.874 D_B: 2.643 G_B: 7.015 cycle_B: 8.622 idt_B: 1.982 median_A: 11.771 median_B: 70.825 
(epoch: 58, iters: 100, time: 0.234, data: 0.236) D_A: 29.933 G_A: 73.559 cycle_A: 7.057 idt_A: 11.743 D_B: 0.461 G_B: 0.025 cycle_B: 7.165 idt_B: 1.960 median_A: 11.442 median_B: 71.507 
(epoch: 59, iters: 100, time: 0.235, data: 0.236) D_A: 9.640 G_A: 11.350 cycle_A: 5.250 idt_A: 12.395 D_B: 0.164 G_B: 0.006 cycle_B: 15.602 idt_B: 2.095 median_A: 11.270 median_B: 70.948 
(epoch: 60, iters: 100, time: 0.234, data: 0.212) D_A: 5.738 G_A: 5.370 cycle_A: 5.331 idt_A: 11.493 D_B: 1.051 G_B: 0.009 cycle_B: 13.415 idt_B: 1.831 median_A: 10.961 median_B: 69.282 
(epoch: 61, iters: 100, time: 0.236, data: 0.185) D_A: 0.505 G_A: 64.008 cycle_A: 6.716 idt_A: 11.908 D_B: 1.396 G_B: 0.215 cycle_B: 26.839 idt_B: 2.084 median_A: 10.834 median_B: 63.677 
(epoch: 62, iters: 100, time: 0.235, data: 0.204) D_A: 7.154 G_A: 7.276 cycle_A: 7.385 idt_A: 11.235 D_B: 163.227 G_B: 15318.795 cycle_B: 231.616 idt_B: 1.971 median_A: 26.382 median_B: 60.750 
(epoch: 63, iters: 100, time: 0.234, data: 0.207) D_A: 2.247 G_A: 45.259 cycle_A: 13.556 idt_A: 10.921 D_B: 174.818 G_B: 23003.100 cycle_B: 79.911 idt_B: 2.072 median_A: 30.142 median_B: 59.173 
(epoch: 64, iters: 100, time: 0.233, data: 0.244) D_A: 26.323 G_A: 41.022 cycle_A: 5.357 idt_A: 10.828 D_B: 30.438 G_B: 1.692 cycle_B: 11.902 idt_B: 2.058 median_A: 11.505 median_B: 58.040 
(epoch: 65, iters: 100, time: 0.235, data: 0.220) D_A: 1.600 G_A: 3.148 cycle_A: 5.025 idt_A: 10.803 D_B: 0.333 G_B: 0.117 cycle_B: 7.499 idt_B: 2.133 median_A: 11.774 median_B: 54.451 
(epoch: 66, iters: 100, time: 0.235, data: 0.217) D_A: 145.517 G_A: 182.805 cycle_A: 5.021 idt_A: 10.763 D_B: 1.095 G_B: 0.228 cycle_B: 9.727 idt_B: 2.068 median_A: 11.708 median_B: 54.473 
