================ Training Loss (Thu Sep 18 19:27:13 2025) ================
(epoch: 300, iters: 20, time: 0.221, data: 0.807) D_A: 6.886 G_A: 7.240 cycle_A: 7.005 idt_A: 2.430 D_B: 370.436 G_B: 681.121 cycle_B: 25.161 idt_B: 1.117 median_A: 14.470 median_B: 17.063 
(epoch: 305, iters: 20, time: 0.220, data: 1.455) D_A: 4.215 G_A: 1.430 cycle_A: 4.740 idt_A: 2.387 D_B: 3.880 G_B: 2.344 cycle_B: 4.773 idt_B: 1.167 median_A: 10.685 median_B: 14.753 
(epoch: 310, iters: 20, time: 0.222, data: 1.065) D_A: 0.256 G_A: 0.607 cycle_A: 4.474 idt_A: 2.655 D_B: 1.574 G_B: 0.191 cycle_B: 4.053 idt_B: 1.222 median_A: 10.647 median_B: 13.264 
(epoch: 315, iters: 20, time: 0.217, data: 0.972) D_A: 0.349 G_A: 2.093 cycle_A: 5.026 idt_A: 2.531 D_B: 3.497 G_B: 0.180 cycle_B: 6.670 idt_B: 1.141 median_A: 10.530 median_B: 11.957 
(epoch: 320, iters: 20, time: 0.224, data: 1.378) D_A: 2.803 G_A: 3.419 cycle_A: 5.333 idt_A: 2.580 D_B: 9.176 G_B: 1.451 cycle_B: 8.544 idt_B: 1.076 median_A: 10.620 median_B: 11.487 
(epoch: 325, iters: 20, time: 0.219, data: 1.152) D_A: 1.307 G_A: 0.081 cycle_A: 5.964 idt_A: 2.658 D_B: 1.440 G_B: 0.105 cycle_B: 4.422 idt_B: 1.384 median_A: 10.532 median_B: 11.349 
(epoch: 330, iters: 20, time: 0.221, data: 1.320) D_A: 0.246 G_A: 0.189 cycle_A: 9.506 idt_A: 2.473 D_B: 6.863 G_B: 2.808 cycle_B: 9.222 idt_B: 1.260 median_A: 10.679 median_B: 10.669 
(epoch: 335, iters: 20, time: 0.223, data: 1.149) D_A: 3.142 G_A: 0.288 cycle_A: 9.149 idt_A: 2.414 D_B: 0.796 G_B: 0.058 cycle_B: 5.761 idt_B: 1.235 median_A: 10.609 median_B: 10.469 
(epoch: 340, iters: 20, time: 0.218, data: 1.424) D_A: 0.458 G_A: 0.005 cycle_A: 9.070 idt_A: 2.282 D_B: 1.686 G_B: 0.765 cycle_B: 4.646 idt_B: 1.026 median_A: 10.540 median_B: 9.924 
(epoch: 345, iters: 20, time: 0.222, data: 1.042) D_A: 1.380 G_A: 0.540 cycle_A: 9.168 idt_A: 2.263 D_B: 0.275 G_B: 0.094 cycle_B: 5.208 idt_B: 1.508 median_A: 10.445 median_B: 9.534 
(epoch: 350, iters: 20, time: 0.222, data: 1.375) D_A: 1.021 G_A: 2.508 cycle_A: 9.724 idt_A: 2.340 D_B: 1.397 G_B: 0.001 cycle_B: 11.928 idt_B: 1.025 median_A: 10.410 median_B: 8.822 
(epoch: 355, iters: 20, time: 0.222, data: 1.134) D_A: 0.419 G_A: 0.017 cycle_A: 9.871 idt_A: 2.391 D_B: 1.526 G_B: 0.533 cycle_B: 9.769 idt_B: 1.111 median_A: 10.449 median_B: 8.782 
(epoch: 360, iters: 20, time: 0.222, data: 1.379) D_A: 0.263 G_A: 0.888 cycle_A: 9.646 idt_A: 2.378 D_B: 2.730 G_B: 1.005 cycle_B: 10.133 idt_B: 0.988 median_A: 10.385 median_B: 8.615 
(epoch: 365, iters: 20, time: 0.224, data: 1.387) D_A: 0.412 G_A: 0.013 cycle_A: 10.141 idt_A: 2.189 D_B: 0.036 G_B: 3.222 cycle_B: 9.345 idt_B: 1.092 median_A: 10.391 median_B: 8.557 
(epoch: 370, iters: 20, time: 0.220, data: 1.099) D_A: 0.411 G_A: 1.219 cycle_A: 10.248 idt_A: 2.169 D_B: 0.950 G_B: 0.450 cycle_B: 4.713 idt_B: 0.948 median_A: 10.524 median_B: 7.988 
(epoch: 375, iters: 20, time: 0.222, data: 1.038) D_A: 1.086 G_A: 1.630 cycle_A: 10.234 idt_A: 2.125 D_B: 1.003 G_B: 0.446 cycle_B: 4.016 idt_B: 1.060 median_A: 10.447 median_B: 6.930 
(epoch: 380, iters: 20, time: 0.222, data: 1.163) D_A: 0.433 G_A: 0.010 cycle_A: 10.284 idt_A: 2.269 D_B: 0.753 G_B: 0.003 cycle_B: 21.126 idt_B: 1.186 median_A: 10.331 median_B: 6.829 
(epoch: 385, iters: 20, time: 0.222, data: 1.319) D_A: 0.333 G_A: 0.115 cycle_A: 10.200 idt_A: 2.278 D_B: 1.426 G_B: 0.012 cycle_B: 3.939 idt_B: 1.127 median_A: 10.335 median_B: 5.419 
(epoch: 390, iters: 20, time: 0.221, data: 1.411) D_A: 3.473 G_A: 2.340 cycle_A: 10.323 idt_A: 1.992 D_B: 1.029 G_B: 0.084 cycle_B: 3.781 idt_B: 1.175 median_A: 10.335 median_B: 5.154 
(epoch: 395, iters: 20, time: 0.222, data: 1.361) D_A: 0.703 G_A: 0.776 cycle_A: 10.344 idt_A: 2.050 D_B: 0.592 G_B: 0.005 cycle_B: 3.834 idt_B: 1.247 median_A: 10.337 median_B: 4.722 
(epoch: 400, iters: 20, time: 0.220, data: 1.315) D_A: 1.015 G_A: 0.473 cycle_A: 10.342 idt_A: 1.918 D_B: 2.203 G_B: 0.176 cycle_B: 3.768 idt_B: 1.325 median_A: 10.335 median_B: 4.095 
(epoch: 405, iters: 20, time: 0.222, data: 1.267) D_A: 0.350 G_A: 0.009 cycle_A: 10.334 idt_A: 1.901 D_B: 0.166 G_B: 0.197 cycle_B: 3.754 idt_B: 1.060 median_A: 10.335 median_B: 3.776 
(epoch: 410, iters: 20, time: 0.220, data: 1.586) D_A: 1.078 G_A: 0.553 cycle_A: 10.342 idt_A: 1.870 D_B: 1.274 G_B: 0.001 cycle_B: 3.721 idt_B: 1.053 median_A: 10.368 median_B: 3.647 
(epoch: 415, iters: 20, time: 0.223, data: 1.750) D_A: 0.607 G_A: 0.057 cycle_A: 10.337 idt_A: 1.974 D_B: 0.840 G_B: 0.246 cycle_B: 3.762 idt_B: 1.075 median_A: 10.337 median_B: 3.660 
(epoch: 420, iters: 20, time: 0.221, data: 1.553) D_A: 0.633 G_A: 0.075 cycle_A: 10.338 idt_A: 2.140 D_B: 0.383 G_B: 0.237 cycle_B: 3.750 idt_B: 1.008 median_A: 10.338 median_B: 3.643 
(epoch: 425, iters: 20, time: 0.220, data: 1.500) D_A: 0.390 G_A: 0.014 cycle_A: 10.338 idt_A: 2.198 D_B: 3.294 G_B: 0.324 cycle_B: 3.747 idt_B: 1.185 median_A: 10.338 median_B: 3.640 
(epoch: 430, iters: 20, time: 0.222, data: 1.550) D_A: 0.545 G_A: 0.082 cycle_A: 10.339 idt_A: 2.314 D_B: 0.091 G_B: 0.392 cycle_B: 3.676 idt_B: 1.165 median_A: 10.339 median_B: 3.608 
(epoch: 435, iters: 20, time: 0.222, data: 1.440) D_A: 0.581 G_A: 0.039 cycle_A: 10.341 idt_A: 2.332 D_B: 2.741 G_B: 0.473 cycle_B: 3.692 idt_B: 0.945 median_A: 10.341 median_B: 3.671 
(epoch: 440, iters: 20, time: 0.218, data: 1.600) D_A: 0.525 G_A: 0.096 cycle_A: 10.343 idt_A: 2.369 D_B: 0.560 G_B: 0.425 cycle_B: 3.700 idt_B: 1.203 median_A: 10.343 median_B: 3.673 
(epoch: 445, iters: 20, time: 0.223, data: 1.526) D_A: 0.470 G_A: 0.096 cycle_A: 10.346 idt_A: 2.299 D_B: 1.758 G_B: 0.529 cycle_B: 3.715 idt_B: 1.028 median_A: 10.346 median_B: 3.575 
(epoch: 450, iters: 20, time: 0.216, data: 1.553) D_A: 0.447 G_A: 0.135 cycle_A: 10.350 idt_A: 1.942 D_B: 1.276 G_B: 0.400 cycle_B: 3.719 idt_B: 1.211 median_A: 10.350 median_B: 3.650 
(epoch: 455, iters: 20, time: 0.221, data: 1.553) D_A: 0.418 G_A: 0.137 cycle_A: 10.355 idt_A: 1.891 D_B: 0.807 G_B: 0.427 cycle_B: 3.716 idt_B: 1.157 median_A: 10.355 median_B: 3.699 
(epoch: 460, iters: 20, time: 0.221, data: 1.384) D_A: 0.337 G_A: 0.117 cycle_A: 10.361 idt_A: 2.111 D_B: 1.277 G_B: 0.502 cycle_B: 3.716 idt_B: 1.033 median_A: 10.361 median_B: 3.530 
(epoch: 465, iters: 20, time: 0.222, data: 1.597) D_A: 0.360 G_A: 0.227 cycle_A: 10.365 idt_A: 2.227 D_B: 0.119 G_B: 0.266 cycle_B: 3.713 idt_B: 0.929 median_A: 10.365 median_B: 3.578 
(epoch: 470, iters: 20, time: 0.219, data: 1.711) D_A: 0.334 G_A: 0.137 cycle_A: 10.370 idt_A: 2.502 D_B: 1.608 G_B: 0.257 cycle_B: 3.705 idt_B: 0.939 median_A: 10.370 median_B: 3.602 
(epoch: 475, iters: 20, time: 0.221, data: 1.591) D_A: 0.293 G_A: 0.306 cycle_A: 10.375 idt_A: 2.530 D_B: 0.126 G_B: 0.328 cycle_B: 3.701 idt_B: 1.049 median_A: 10.375 median_B: 3.620 
(epoch: 480, iters: 20, time: 0.221, data: 1.583) D_A: 0.294 G_A: 0.159 cycle_A: 10.378 idt_A: 2.450 D_B: 0.807 G_B: 0.250 cycle_B: 3.696 idt_B: 1.069 median_A: 10.378 median_B: 4.061 
(epoch: 485, iters: 20, time: 0.226, data: 1.622) D_A: 0.287 G_A: 0.269 cycle_A: 10.380 idt_A: 2.120 D_B: 0.473 G_B: 0.412 cycle_B: 3.696 idt_B: 1.026 median_A: 10.380 median_B: 3.358 
(epoch: 490, iters: 20, time: 0.222, data: 1.181) D_A: 0.280 G_A: 0.176 cycle_A: 10.381 idt_A: 1.954 D_B: 0.432 G_B: 0.581 cycle_B: 3.693 idt_B: 0.892 median_A: 10.381 median_B: 3.305 
(epoch: 495, iters: 20, time: 0.220, data: 1.372) D_A: 0.269 G_A: 0.309 cycle_A: 10.380 idt_A: 1.999 D_B: 0.167 G_B: 0.807 cycle_B: 3.683 idt_B: 0.956 median_A: 10.380 median_B: 3.278 
(epoch: 500, iters: 20, time: 0.222, data: 1.495) D_A: 0.267 G_A: 0.205 cycle_A: 10.378 idt_A: 1.980 D_B: 0.015 G_B: 0.681 cycle_B: 3.685 idt_B: 0.986 median_A: 10.378 median_B: 3.283 
(epoch: 505, iters: 20, time: 0.218, data: 1.190) D_A: 0.274 G_A: 0.202 cycle_A: 10.376 idt_A: 2.189 D_B: 0.600 G_B: 0.601 cycle_B: 3.681 idt_B: 0.828 median_A: 10.376 median_B: 3.380 
(epoch: 510, iters: 20, time: 0.225, data: 1.435) D_A: 0.260 G_A: 0.216 cycle_A: 10.374 idt_A: 2.084 D_B: 0.005 G_B: 0.673 cycle_B: 3.676 idt_B: 1.016 median_A: 10.374 median_B: 3.561 
(epoch: 515, iters: 20, time: 0.221, data: 1.679) D_A: 0.256 G_A: 0.246 cycle_A: 10.373 idt_A: 1.998 D_B: 0.232 G_B: 0.853 cycle_B: 3.675 idt_B: 0.848 median_A: 10.373 median_B: 3.468 
(epoch: 520, iters: 20, time: 0.220, data: 1.685) D_A: 0.312 G_A: 0.234 cycle_A: 10.370 idt_A: 1.913 D_B: 0.207 G_B: 0.459 cycle_B: 3.668 idt_B: 0.858 median_A: 10.370 median_B: 2.983 
(epoch: 525, iters: 20, time: 0.214, data: 1.413) D_A: 0.258 G_A: 0.239 cycle_A: 10.369 idt_A: 2.025 D_B: 0.403 G_B: 0.622 cycle_B: 3.670 idt_B: 0.846 median_A: 10.369 median_B: 2.935 
(epoch: 530, iters: 20, time: 0.224, data: 1.821) D_A: 0.273 G_A: 0.266 cycle_A: 10.367 idt_A: 2.013 D_B: 0.029 G_B: 0.922 cycle_B: 3.668 idt_B: 0.865 median_A: 10.367 median_B: 2.985 
(epoch: 535, iters: 20, time: 0.223, data: 1.772) D_A: 0.303 G_A: 0.247 cycle_A: 10.365 idt_A: 1.978 D_B: 0.336 G_B: 0.663 cycle_B: 3.663 idt_B: 0.867 median_A: 10.365 median_B: 2.845 
(epoch: 540, iters: 20, time: 0.222, data: 1.780) D_A: 0.264 G_A: 0.268 cycle_A: 10.364 idt_A: 2.172 D_B: 0.564 G_B: 0.912 cycle_B: 3.663 idt_B: 0.808 median_A: 10.364 median_B: 2.703 
(epoch: 545, iters: 20, time: 0.223, data: 1.631) D_A: 0.275 G_A: 0.277 cycle_A: 10.362 idt_A: 2.131 D_B: 0.006 G_B: 0.617 cycle_B: 3.665 idt_B: 0.911 median_A: 10.362 median_B: 2.653 
(epoch: 550, iters: 20, time: 0.221, data: 1.705) D_A: 0.290 G_A: 0.134 cycle_A: 10.360 idt_A: 2.075 D_B: 0.181 G_B: 0.995 cycle_B: 3.663 idt_B: 0.828 median_A: 10.360 median_B: 2.581 
(epoch: 555, iters: 20, time: 0.222, data: 1.789) D_A: 0.294 G_A: 0.127 cycle_A: 10.358 idt_A: 2.020 D_B: 0.170 G_B: 0.645 cycle_B: 3.662 idt_B: 0.954 median_A: 10.358 median_B: 2.566 
