================ Training Loss (Fri Sep 19 16:30:06 2025) ================
(epoch: 72, iters: 50, time: 0.052, data: 0.128) D_A: 1.508 G_A: 0.337 cycle_A: 3.337 idt_A: 2.188 D_B: 0.441 G_B: 0.186 cycle_B: 4.400 idt_B: 1.764 median_A: 12.471 median_B: 8.391 
(epoch: 74, iters: 50, time: 0.052, data: 0.132) D_A: 1.505 G_A: 0.621 cycle_A: 3.056 idt_A: 2.144 D_B: 4.182 G_B: 7.144 cycle_B: 4.473 idt_B: 1.969 median_A: 11.192 median_B: 8.713 
(epoch: 76, iters: 50, time: 0.051, data: 0.131) D_A: 1.905 G_A: 0.341 cycle_A: 4.139 idt_A: 2.114 D_B: 2.623 G_B: 3.745 cycle_B: 4.543 idt_B: 1.818 median_A: 12.368 median_B: 9.034 
(epoch: 78, iters: 50, time: 0.052, data: 0.128) D_A: 0.490 G_A: 0.000 cycle_A: 3.062 idt_A: 2.112 D_B: 0.411 G_B: 0.756 cycle_B: 4.284 idt_B: 1.712 median_A: 13.175 median_B: 8.827 
(epoch: 80, iters: 50, time: 0.051, data: 0.142) D_A: 0.753 G_A: 0.193 cycle_A: 3.067 idt_A: 2.105 D_B: 0.181 G_B: 0.222 cycle_B: 4.271 idt_B: 1.615 median_A: 11.878 median_B: 9.272 
(epoch: 82, iters: 50, time: 0.051, data: 0.128) D_A: 0.253 G_A: 0.094 cycle_A: 4.021 idt_A: 2.075 D_B: 0.749 G_B: 1.161 cycle_B: 4.278 idt_B: 1.853 median_A: 11.245 median_B: 9.380 
(epoch: 84, iters: 50, time: 0.052, data: 0.127) D_A: 0.023 G_A: 0.639 cycle_A: 4.897 idt_A: 2.084 D_B: 0.314 G_B: 0.562 cycle_B: 5.141 idt_B: 1.703 median_A: 12.195 median_B: 9.083 
(epoch: 86, iters: 50, time: 0.051, data: 0.128) D_A: 0.659 G_A: 0.880 cycle_A: 3.073 idt_A: 2.074 D_B: 6.621 G_B: 12.607 cycle_B: 4.419 idt_B: 1.693 median_A: 11.513 median_B: 9.360 
(epoch: 88, iters: 50, time: 0.051, data: 0.127) D_A: 0.441 G_A: 0.241 cycle_A: 3.284 idt_A: 2.048 D_B: 15.564 G_B: 20.252 cycle_B: 4.285 idt_B: 1.836 median_A: 10.204 median_B: 9.468 
(epoch: 90, iters: 50, time: 0.051, data: 0.129) D_A: 0.114 G_A: 0.225 cycle_A: 4.017 idt_A: 2.023 D_B: 1.893 G_B: 0.560 cycle_B: 4.740 idt_B: 1.622 median_A: 9.526 median_B: 7.084 
