================ Training Loss (Sat Sep 20 15:21:17 2025) ================
(epoch: 38, iters: 50, time: 0.225, data: 0.002) D_A: 2.639 G_A: 0.066 cycle_A: 10.001 idt_A: 4.286 D_B: 2.316 G_B: 0.175 cycle_B: 5.216 idt_B: 1.858 median_A: 10.153 median_B: 7.445 
(epoch: 38, iters: 150, time: 0.226, data: 0.002) D_A: 0.051 G_A: 1.092 cycle_A: 9.358 idt_A: 4.187 D_B: 0.752 G_B: 1.182 cycle_B: 4.423 idt_B: 2.252 median_A: 9.588 median_B: 7.303 
(epoch: 39, iters: 100, time: 0.227, data: 0.239) D_A: 0.055 G_A: 0.001 cycle_A: 10.507 idt_A: 2.929 D_B: 7.071 G_B: 0.674 cycle_B: 6.959 idt_B: 1.812 median_A: 10.701 median_B: 7.132 
(epoch: 40, iters: 50, time: 0.226, data: 0.002) D_A: 0.148 G_A: 0.006 cycle_A: 9.986 idt_A: 4.042 D_B: 1.041 G_B: 0.000 cycle_B: 4.646 idt_B: 1.850 median_A: 10.110 median_B: 6.540 
(epoch: 40, iters: 150, time: 0.226, data: 0.002) D_A: 0.845 G_A: 2.176 cycle_A: 9.341 idt_A: 4.015 D_B: 0.094 G_B: 1.257 cycle_B: 6.527 idt_B: 2.254 median_A: 9.436 median_B: 6.811 
(epoch: 41, iters: 100, time: 0.225, data: 0.239) D_A: 0.323 G_A: 0.875 cycle_A: 10.471 idt_A: 2.751 D_B: 2.332 G_B: 0.103 cycle_B: 4.623 idt_B: 1.838 median_A: 10.615 median_B: 6.828 
(epoch: 42, iters: 50, time: 0.225, data: 0.002) D_A: 1.379 G_A: 0.423 cycle_A: 9.973 idt_A: 3.891 D_B: 2.808 G_B: 0.794 cycle_B: 6.253 idt_B: 1.691 median_A: 10.072 median_B: 6.102 
(epoch: 42, iters: 150, time: 0.226, data: 0.002) D_A: 2.861 G_A: 1.502 cycle_A: 9.335 idt_A: 3.768 D_B: 0.157 G_B: 0.241 cycle_B: 5.064 idt_B: 2.247 median_A: 9.453 median_B: 6.266 
(epoch: 43, iters: 100, time: 0.226, data: 0.235) D_A: 2.431 G_A: 0.003 cycle_A: 10.469 idt_A: 2.630 D_B: 1.008 G_B: 0.497 cycle_B: 3.989 idt_B: 1.883 median_A: 10.531 median_B: 6.440 
(epoch: 44, iters: 50, time: 0.224, data: 0.002) D_A: 0.093 G_A: 0.071 cycle_A: 9.970 idt_A: 3.646 D_B: 1.538 G_B: 0.168 cycle_B: 6.913 idt_B: 1.722 median_A: 9.975 median_B: 5.966 
(epoch: 44, iters: 150, time: 0.226, data: 0.002) D_A: 0.832 G_A: 0.084 cycle_A: 9.329 idt_A: 3.600 D_B: 0.783 G_B: 0.455 cycle_B: 4.088 idt_B: 2.189 median_A: 9.460 median_B: 5.810 
(epoch: 45, iters: 100, time: 0.226, data: 0.246) D_A: 0.470 G_A: 0.010 cycle_A: 10.443 idt_A: 2.516 D_B: 0.030 G_B: 0.761 cycle_B: 3.797 idt_B: 1.657 median_A: 10.565 median_B: 6.046 
(epoch: 46, iters: 50, time: 0.227, data: 0.002) D_A: 0.219 G_A: 0.048 cycle_A: 9.943 idt_A: 3.500 D_B: 0.757 G_B: 1.332 cycle_B: 4.345 idt_B: 1.563 median_A: 10.032 median_B: 5.702 
(epoch: 46, iters: 150, time: 0.226, data: 0.002) D_A: 0.463 G_A: 1.620 cycle_A: 9.314 idt_A: 3.307 D_B: 2.442 G_B: 0.062 cycle_B: 4.696 idt_B: 2.097 median_A: 9.476 median_B: 5.785 
(epoch: 47, iters: 100, time: 0.226, data: 0.243) D_A: 0.381 G_A: 0.083 cycle_A: 10.423 idt_A: 2.452 D_B: 5.414 G_B: 0.905 cycle_B: 3.469 idt_B: 1.643 median_A: 10.509 median_B: 5.659 
(epoch: 48, iters: 50, time: 0.226, data: 0.002) D_A: 0.487 G_A: 0.292 cycle_A: 9.930 idt_A: 3.329 D_B: 0.543 G_B: 1.223 cycle_B: 4.236 idt_B: 1.580 median_A: 10.024 median_B: 4.984 
(epoch: 48, iters: 150, time: 0.224, data: 0.002) D_A: 0.982 G_A: 0.894 cycle_A: 9.300 idt_A: 3.145 D_B: 0.153 G_B: 0.370 cycle_B: 4.472 idt_B: 2.074 median_A: 9.432 median_B: 4.903 
(epoch: 49, iters: 100, time: 0.224, data: 0.216) D_A: 5.739 G_A: 3.724 cycle_A: 10.420 idt_A: 2.425 D_B: 5.074 G_B: 1.408 cycle_B: 3.667 idt_B: 1.923 median_A: 10.546 median_B: 5.127 
