================ Training Loss (Thu Sep 25 01:40:40 2025) ================
(epoch: 86, iters: 50, time: 0.235, data: 0.275) D_A: 1.429 G_A: 1.796 cycle_A: 9.992 idt_A: 7.462 D_B: 4.511 G_B: 0.009 cycle_B: 11.263 idt_B: 1.194 median_A: 11.846 median_B: 15.791 
(epoch: 88, iters: 50, time: 0.233, data: 0.242) D_A: 1.642 G_A: 0.036 cycle_A: 9.978 idt_A: 7.179 D_B: 0.538 G_B: 0.610 cycle_B: 6.205 idt_B: 1.243 median_A: 11.449 median_B: 16.296 
(epoch: 90, iters: 50, time: 0.235, data: 0.280) D_A: 2.066 G_A: 2.365 cycle_A: 9.947 idt_A: 6.849 D_B: 6.221 G_B: 3.665 cycle_B: 7.801 idt_B: 1.115 median_A: 11.544 median_B: 15.537 
(epoch: 92, iters: 50, time: 0.233, data: 0.286) D_A: 4.639 G_A: 3.805 cycle_A: 9.928 idt_A: 6.579 D_B: 0.376 G_B: 0.018 cycle_B: 5.991 idt_B: 1.148 median_A: 11.452 median_B: 15.282 
(epoch: 94, iters: 50, time: 0.234, data: 0.268) D_A: 2.057 G_A: 0.045 cycle_A: 9.910 idt_A: 6.587 D_B: 2.366 G_B: 0.010 cycle_B: 11.665 idt_B: 1.246 median_A: 11.658 median_B: 14.935 
(epoch: 96, iters: 50, time: 0.234, data: 0.292) D_A: 0.341 G_A: 0.159 cycle_A: 9.862 idt_A: 6.509 D_B: 0.090 G_B: 0.003 cycle_B: 5.908 idt_B: 1.151 median_A: 11.561 median_B: 15.002 
(epoch: 98, iters: 50, time: 0.234, data: 0.292) D_A: 0.249 G_A: 0.202 cycle_A: 9.817 idt_A: 6.375 D_B: 2.507 G_B: 0.301 cycle_B: 6.662 idt_B: 1.493 median_A: 11.706 median_B: 14.937 
(epoch: 100, iters: 50, time: 0.220, data: 0.301) D_A: 0.512 G_A: 2.490 cycle_A: 9.780 idt_A: 6.461 D_B: 1.877 G_B: 0.349 cycle_B: 11.624 idt_B: 1.328 median_A: 11.833 median_B: 14.823 
(epoch: 102, iters: 50, time: 0.234, data: 0.288) D_A: 6.872 G_A: 3.800 cycle_A: 9.723 idt_A: 6.363 D_B: 0.670 G_B: 0.081 cycle_B: 5.881 idt_B: 1.213 median_A: 11.559 median_B: 16.025 
(epoch: 104, iters: 50, time: 0.235, data: 0.274) D_A: 7.876 G_A: 0.699 cycle_A: 9.659 idt_A: 6.196 D_B: 34.302 G_B: 0.200 cycle_B: 7.621 idt_B: 1.236 median_A: 11.459 median_B: 14.554 
(epoch: 106, iters: 50, time: 0.234, data: 0.258) D_A: 3.314 G_A: 1.091 cycle_A: 9.594 idt_A: 6.152 D_B: 0.587 G_B: 0.113 cycle_B: 9.855 idt_B: 1.033 median_A: 11.784 median_B: 14.490 
(epoch: 108, iters: 50, time: 0.234, data: 0.286) D_A: 2.633 G_A: 0.444 cycle_A: 9.541 idt_A: 6.181 D_B: 0.459 G_B: 0.011 cycle_B: 7.192 idt_B: 1.033 median_A: 11.500 median_B: 14.512 
(epoch: 110, iters: 50, time: 0.235, data: 0.289) D_A: 2.015 G_A: 0.841 cycle_A: 9.483 idt_A: 6.225 D_B: 4.320 G_B: 0.428 cycle_B: 6.652 idt_B: 1.118 median_A: 11.480 median_B: 13.758 
