================ Training Loss (Wed Sep 24 05:40:58 2025) ================
(epoch: 72, iters: 50, time: 0.233, data: 0.247) D_A: 2.432 G_A: 0.239 cycle_A: 5.324 idt_A: 4.669 D_B: 50.814 G_B: 0.282 cycle_B: 3.927 idt_B: 1.253 median_A: 8.474 median_B: 10.011 
(epoch: 74, iters: 50, time: 0.234, data: 0.248) D_A: 1.763 G_A: 1.986 cycle_A: 6.216 idt_A: 4.611 D_B: 6.122 G_B: 0.053 cycle_B: 3.817 idt_B: 1.143 median_A: 8.503 median_B: 9.596 
(epoch: 76, iters: 50, time: 0.233, data: 0.243) D_A: 3.203 G_A: 1.506 cycle_A: 6.947 idt_A: 4.508 D_B: 12.952 G_B: 0.270 cycle_B: 4.343 idt_B: 1.290 median_A: 8.530 median_B: 9.423 
(epoch: 78, iters: 50, time: 0.234, data: 0.243) D_A: 0.326 G_A: 0.726 cycle_A: 6.669 idt_A: 4.459 D_B: 0.099 G_B: 0.076 cycle_B: 3.440 idt_B: 1.339 median_A: 8.146 median_B: 8.990 
(epoch: 80, iters: 50, time: 0.233, data: 0.236) D_A: 0.403 G_A: 0.022 cycle_A: 6.860 idt_A: 4.367 D_B: 7.755 G_B: 1.707 cycle_B: 5.117 idt_B: 1.448 median_A: 7.931 median_B: 8.922 
(epoch: 82, iters: 50, time: 0.230, data: 0.248) D_A: 1.179 G_A: 1.270 cycle_A: 6.891 idt_A: 4.335 D_B: 2.569 G_B: 4.161 cycle_B: 3.853 idt_B: 1.409 median_A: 8.092 median_B: 8.586 
(epoch: 84, iters: 50, time: 0.233, data: 0.256) D_A: 0.808 G_A: 0.070 cycle_A: 6.883 idt_A: 4.234 D_B: 15.014 G_B: 0.506 cycle_B: 5.016 idt_B: 1.470 median_A: 7.897 median_B: 8.428 
(epoch: 86, iters: 50, time: 0.233, data: 0.253) D_A: 0.704 G_A: 3.793 cycle_A: 6.940 idt_A: 4.092 D_B: 1.706 G_B: 0.039 cycle_B: 6.928 idt_B: 1.348 median_A: 7.710 median_B: 8.207 
(epoch: 88, iters: 50, time: 0.234, data: 0.252) D_A: 0.368 G_A: 1.458 cycle_A: 6.944 idt_A: 4.024 D_B: 4.446 G_B: 0.243 cycle_B: 3.809 idt_B: 1.151 median_A: 7.640 median_B: 7.660 
(epoch: 90, iters: 50, time: 0.233, data: 0.253) D_A: 2.428 G_A: 0.380 cycle_A: 6.945 idt_A: 3.928 D_B: 3.641 G_B: 0.646 cycle_B: 3.584 idt_B: 1.130 median_A: 7.721 median_B: 7.267 
(epoch: 92, iters: 50, time: 0.233, data: 0.266) D_A: 0.716 G_A: 1.027 cycle_A: 6.900 idt_A: 3.827 D_B: 1.567 G_B: 0.556 cycle_B: 4.085 idt_B: 1.279 median_A: 7.476 median_B: 6.709 
(epoch: 94, iters: 50, time: 0.232, data: 0.263) D_A: 0.406 G_A: 0.044 cycle_A: 6.992 idt_A: 3.788 D_B: 0.351 G_B: 0.446 cycle_B: 3.785 idt_B: 1.363 median_A: 7.502 median_B: 6.312 
(epoch: 96, iters: 50, time: 0.234, data: 0.243) D_A: 2.135 G_A: 5.025 cycle_A: 6.946 idt_A: 3.680 D_B: 6.778 G_B: 0.696 cycle_B: 2.934 idt_B: 1.365 median_A: 7.337 median_B: 5.861 
