================ Training Loss (Fri Sep 19 21:09:31 2025) ================
(epoch: 39, iters: 100, time: 0.226, data: 0.210) D_A: 0.999 G_A: 0.054 cycle_A: 6.382 idt_A: 5.445 D_B: 3.607 G_B: 0.001 cycle_B: 5.840 idt_B: 2.338 median_A: 9.310 median_B: 13.999 
(epoch: 40, iters: 100, time: 0.226, data: 0.183) D_A: 4.389 G_A: 0.069 cycle_A: 6.377 idt_A: 5.475 D_B: 1.468 G_B: 0.001 cycle_B: 5.590 idt_B: 2.227 median_A: 9.279 median_B: 13.829 
(epoch: 41, iters: 100, time: 0.227, data: 0.221) D_A: 0.303 G_A: 0.356 cycle_A: 6.394 idt_A: 5.445 D_B: 2.222 G_B: 1.220 cycle_B: 5.330 idt_B: 2.132 median_A: 9.361 median_B: 13.757 
(epoch: 42, iters: 100, time: 0.226, data: 0.210) D_A: 0.451 G_A: 0.216 cycle_A: 6.248 idt_A: 5.400 D_B: 1.760 G_B: 0.536 cycle_B: 7.161 idt_B: 2.231 median_A: 9.404 median_B: 13.241 
(epoch: 43, iters: 100, time: 0.225, data: 0.234) D_A: 0.534 G_A: 0.094 cycle_A: 6.273 idt_A: 5.268 D_B: 2.294 G_B: 0.373 cycle_B: 6.507 idt_B: 2.048 median_A: 9.421 median_B: 13.030 
(epoch: 44, iters: 100, time: 0.226, data: 0.234) D_A: 0.835 G_A: 1.092 cycle_A: 6.434 idt_A: 5.143 D_B: 1.245 G_B: 0.005 cycle_B: 5.730 idt_B: 2.198 median_A: 9.314 median_B: 12.911 
(epoch: 45, iters: 100, time: 0.225, data: 0.235) D_A: 4.165 G_A: 0.626 cycle_A: 6.239 idt_A: 4.974 D_B: 8.207 G_B: 0.054 cycle_B: 6.499 idt_B: 2.019 median_A: 9.338 median_B: 12.472 
(epoch: 46, iters: 100, time: 0.226, data: 0.204) D_A: 2.522 G_A: 1.679 cycle_A: 6.711 idt_A: 4.810 D_B: 1.405 G_B: 0.162 cycle_B: 5.818 idt_B: 1.856 median_A: 9.278 median_B: 12.487 
(epoch: 47, iters: 100, time: 0.226, data: 0.210) D_A: 0.572 G_A: 0.468 cycle_A: 6.426 idt_A: 4.736 D_B: 1.531 G_B: 0.352 cycle_B: 4.918 idt_B: 1.890 median_A: 9.261 median_B: 12.286 
(epoch: 48, iters: 100, time: 0.226, data: 0.205) D_A: 1.772 G_A: 0.876 cycle_A: 6.358 idt_A: 4.652 D_B: 2.775 G_B: 0.002 cycle_B: 5.082 idt_B: 1.867 median_A: 9.248 median_B: 12.253 
