================ Training Loss (Thu Nov 13 19:46:39 2025) ================
(epoch: 749, iters: 10, time: 0.235, data: 0.217) D_A: 10.753 G_A: 41.126 cycle_A: 3.809 idt_A: 5.855 D_B: 0.047 G_B: 0.442 cycle_B: 5.337 idt_B: 1.027 median_A: 10.063 median_B: 24.034 
(epoch: 758, iters: 10, time: 0.237, data: 0.222) D_A: 56.399 G_A: 0.038 cycle_A: 3.660 idt_A: 5.710 D_B: 0.058 G_B: 0.434 cycle_B: 5.343 idt_B: 0.824 median_A: 10.063 median_B: 23.591 
(epoch: 767, iters: 10, time: 0.237, data: 0.227) D_A: 14.355 G_A: 13.449 cycle_A: 3.580 idt_A: 5.802 D_B: 0.044 G_B: 0.421 cycle_B: 5.349 idt_B: 0.873 median_A: 10.063 median_B: 23.992 
(epoch: 776, iters: 10, time: 0.235, data: 0.238) D_A: 42.683 G_A: 9.743 cycle_A: 3.411 idt_A: 6.402 D_B: 0.065 G_B: 0.402 cycle_B: 5.339 idt_B: 1.391 median_A: 10.063 median_B: 22.542 
(epoch: 785, iters: 10, time: 0.236, data: 0.221) D_A: 16.298 G_A: 9.153 cycle_A: 3.191 idt_A: 7.800 D_B: 0.074 G_B: 0.379 cycle_B: 5.345 idt_B: 0.977 median_A: 10.063 median_B: 22.074 
(epoch: 794, iters: 10, time: 0.236, data: 0.259) D_A: 19.636 G_A: 1.988 cycle_A: 3.150 idt_A: 6.207 D_B: 0.083 G_B: 0.351 cycle_B: 5.343 idt_B: 0.913 median_A: 10.063 median_B: 21.008 
(epoch: 803, iters: 10, time: 0.235, data: 0.295) D_A: 19.495 G_A: 8.590 cycle_A: 3.086 idt_A: 5.301 D_B: 0.094 G_B: 0.321 cycle_B: 5.349 idt_B: 1.212 median_A: 10.063 median_B: 19.724 
(epoch: 812, iters: 10, time: 0.236, data: 0.191) D_A: 8.332 G_A: 4.367 cycle_A: 3.012 idt_A: 5.515 D_B: 0.107 G_B: 0.288 cycle_B: 5.350 idt_B: 0.956 median_A: 10.064 median_B: 19.457 
(epoch: 821, iters: 10, time: 0.236, data: 0.207) D_A: 20.114 G_A: 0.510 cycle_A: 3.131 idt_A: 6.615 D_B: 0.073 G_B: 0.255 cycle_B: 5.350 idt_B: 0.972 median_A: 10.064 median_B: 18.194 
(epoch: 830, iters: 10, time: 0.237, data: 0.236) D_A: 7.161 G_A: 4.833 cycle_A: 2.880 idt_A: 7.110 D_B: 0.134 G_B: 0.223 cycle_B: 5.349 idt_B: 0.959 median_A: 10.064 median_B: 16.657 
(epoch: 839, iters: 10, time: 0.232, data: 0.239) D_A: 10.096 G_A: 0.098 cycle_A: 5.326 idt_A: 7.235 D_B: 0.126 G_B: 0.220 cycle_B: 5.395 idt_B: 0.878 median_A: 10.064 median_B: 17.453 
(epoch: 848, iters: 10, time: 0.235, data: 0.314) D_A: 6.336 G_A: 1.519 cycle_A: 2.780 idt_A: 6.633 D_B: 0.143 G_B: 0.217 cycle_B: 5.352 idt_B: 1.061 median_A: 10.064 median_B: 17.160 
(epoch: 857, iters: 10, time: 0.235, data: 0.334) D_A: 11.250 G_A: 13.972 cycle_A: 2.738 idt_A: 6.123 D_B: 0.148 G_B: 0.208 cycle_B: 5.354 idt_B: 0.953 median_A: 10.064 median_B: 17.545 
(epoch: 866, iters: 10, time: 0.237, data: 0.331) D_A: 58.229 G_A: 1.341 cycle_A: 2.718 idt_A: 5.710 D_B: 0.126 G_B: 0.197 cycle_B: 5.353 idt_B: 0.952 median_A: 10.064 median_B: 17.741 
(epoch: 875, iters: 10, time: 0.235, data: 0.337) D_A: 13.574 G_A: 18.353 cycle_A: 2.726 idt_A: 5.605 D_B: 0.164 G_B: 0.183 cycle_B: 5.357 idt_B: 0.970 median_A: 10.064 median_B: 16.867 
(epoch: 884, iters: 10, time: 0.236, data: 0.358) D_A: 3.788 G_A: 1.139 cycle_A: 5.790 idt_A: 4.953 D_B: 0.164 G_B: 0.168 cycle_B: 5.361 idt_B: 0.940 median_A: 10.064 median_B: 16.805 
(epoch: 893, iters: 10, time: 0.237, data: 0.391) D_A: 4.325 G_A: 3.212 cycle_A: 6.419 idt_A: 5.203 D_B: 0.188 G_B: 0.149 cycle_B: 5.405 idt_B: 1.056 median_A: 10.064 median_B: 15.334 
(epoch: 902, iters: 10, time: 0.237, data: 0.390) D_A: 0.812 G_A: 3.445 cycle_A: 6.404 idt_A: 5.653 D_B: 0.203 G_B: 0.132 cycle_B: 5.419 idt_B: 1.019 median_A: 10.064 median_B: 14.424 
(epoch: 911, iters: 10, time: 0.236, data: 0.403) D_A: 4.824 G_A: 1.876 cycle_A: 6.439 idt_A: 5.329 D_B: 0.219 G_B: 0.114 cycle_B: 5.417 idt_B: 0.898 median_A: 10.064 median_B: 14.165 
(epoch: 920, iters: 10, time: 0.236, data: 0.189) D_A: 1.415 G_A: 0.187 cycle_A: 6.444 idt_A: 5.738 D_B: 0.237 G_B: 0.097 cycle_B: 5.410 idt_B: 1.065 median_A: 10.064 median_B: 12.743 
(epoch: 929, iters: 10, time: 0.235, data: 0.189) D_A: 0.812 G_A: 0.918 cycle_A: 6.772 idt_A: 5.388 D_B: 0.229 G_B: 0.098 cycle_B: 5.407 idt_B: 0.996 median_A: 10.064 median_B: 12.909 
(epoch: 938, iters: 10, time: 0.237, data: 0.197) D_A: 2.190 G_A: 0.330 cycle_A: 6.609 idt_A: 5.410 D_B: 0.220 G_B: 0.096 cycle_B: 5.405 idt_B: 0.843 median_A: 10.064 median_B: 12.765 
(epoch: 947, iters: 10, time: 0.235, data: 0.208) D_A: 0.789 G_A: 0.000 cycle_A: 6.402 idt_A: 5.515 D_B: 0.242 G_B: 0.092 cycle_B: 5.409 idt_B: 1.067 median_A: 10.064 median_B: 12.637 
(epoch: 956, iters: 10, time: 0.237, data: 0.215) D_A: 1.397 G_A: 2.914 cycle_A: 6.463 idt_A: 5.640 D_B: 0.205 G_B: 0.088 cycle_B: 5.432 idt_B: 1.149 median_A: 10.064 median_B: 12.208 
(epoch: 965, iters: 10, time: 0.235, data: 0.224) D_A: 0.205 G_A: 3.251 cycle_A: 6.539 idt_A: 5.847 D_B: 0.181 G_B: 0.082 cycle_B: 5.419 idt_B: 0.926 median_A: 10.064 median_B: 12.193 
(epoch: 974, iters: 10, time: 0.234, data: 0.230) D_A: 3.302 G_A: 7.102 cycle_A: 7.372 idt_A: 5.775 D_B: 0.717 G_B: 0.079 cycle_B: 5.403 idt_B: 0.915 median_A: 10.064 median_B: 12.537 
(epoch: 983, iters: 10, time: 0.234, data: 0.293) D_A: 0.180 G_A: 0.175 cycle_A: 7.268 idt_A: 5.824 D_B: 1.566 G_B: 0.070 cycle_B: 5.362 idt_B: 1.100 median_A: 10.065 median_B: 11.425 
(epoch: 992, iters: 10, time: 0.234, data: 0.250) D_A: 4.732 G_A: 6.322 cycle_A: 7.328 idt_A: 4.483 D_B: 12.938 G_B: 0.063 cycle_B: 5.363 idt_B: 0.909 median_A: 10.065 median_B: 11.309 
(epoch: 1001, iters: 10, time: 0.235, data: 0.252) D_A: 4.704 G_A: 2.410 cycle_A: 7.510 idt_A: 4.270 D_B: 2.752 G_B: 0.056 cycle_B: 5.364 idt_B: 1.038 median_A: 10.065 median_B: 11.486 
