================ Training Loss (Sat Mar  7 12:33:49 2026) ================
(epoch: 13, iters: 40, time: 0.012, data: 0.001) G_A: 28.680 G_B: 0.861 D_A: 10.862 D_B: 0.065 cycle_A: 0.328 cycle_B: 0.271 feedback_A: 6.706 feedback_B: 5.863 idt_A: 0.134 idt_B: 0.213 
(epoch: 14, iters: 0, time: 0.009, data: 0.001) G_A: 0.974 G_B: 2.989 D_A: 0.265 D_B: 5.074 cycle_A: 0.646 cycle_B: 0.544 feedback_A: 7.226 feedback_B: 7.488 idt_A: 0.157 idt_B: 0.213 
(epoch: 14, iters: 10, time: 0.009, data: 0.001) G_A: 0.175 G_B: 0.008 D_A: 1.007 D_B: 0.593 cycle_A: 0.514 cycle_B: 0.516 feedback_A: 7.401 feedback_B: 7.294 idt_A: 0.152 idt_B: 0.158 
(epoch: 14, iters: 20, time: 0.009, data: 0.001) G_A: 0.807 G_B: 0.780 D_A: 0.006 D_B: 2.022 cycle_A: 0.414 cycle_B: 0.530 feedback_A: 6.898 feedback_B: 7.159 idt_A: 0.154 idt_B: 0.197 
(epoch: 14, iters: 30, time: 0.009, data: 0.001) G_A: 0.172 G_B: 0.179 D_A: 1.055 D_B: 1.121 cycle_A: 0.387 cycle_B: 0.424 feedback_A: 6.659 feedback_B: 6.571 idt_A: 0.163 idt_B: 0.167 
(epoch: 14, iters: 40, time: 0.009, data: 0.001) G_A: 0.205 G_B: 1.687 D_A: 1.195 D_B: 2.676 cycle_A: 0.340 cycle_B: 0.460 feedback_A: 6.445 feedback_B: 6.487 idt_A: 0.190 idt_B: 0.195 
(epoch: 15, iters: 0, time: 0.009, data: 0.001) G_A: 0.759 G_B: 0.720 D_A: 0.011 D_B: 0.692 cycle_A: 0.290 cycle_B: 0.425 feedback_A: 6.353 feedback_B: 6.376 idt_A: 0.184 idt_B: 0.191 
(epoch: 15, iters: 10, time: 0.009, data: 0.001) G_A: 1.291 G_B: 1.440 D_A: 0.445 D_B: 0.077 cycle_A: 0.320 cycle_B: 0.414 feedback_A: 6.000 feedback_B: 6.040 idt_A: 0.183 idt_B: 0.171 
(epoch: 15, iters: 20, time: 0.011, data: 0.001) G_A: 0.523 G_B: 0.423 D_A: 0.234 D_B: 1.406 cycle_A: 0.297 cycle_B: 0.420 feedback_A: 5.508 feedback_B: 5.823 idt_A: 0.170 idt_B: 0.200 
(epoch: 15, iters: 30, time: 0.010, data: 0.001) G_A: 0.279 G_B: 0.374 D_A: 0.586 D_B: 0.597 cycle_A: 0.313 cycle_B: 0.391 feedback_A: 5.126 feedback_B: 5.694 idt_A: 0.156 idt_B: 0.184 
(epoch: 15, iters: 40, time: 0.010, data: 0.001) G_A: 4.921 G_B: 2.515 D_A: 5.191 D_B: 1.877 cycle_A: 0.405 cycle_B: 0.403 feedback_A: 4.798 feedback_B: 5.340 idt_A: 0.178 idt_B: 0.219 
(epoch: 16, iters: 0, time: 0.009, data: 0.001) G_A: 1.723 G_B: 0.193 D_A: 2.679 D_B: 0.240 cycle_A: 0.394 cycle_B: 0.418 feedback_A: 4.858 feedback_B: 5.363 idt_A: 0.142 idt_B: 0.182 
(epoch: 16, iters: 10, time: 0.010, data: 0.001) G_A: 0.086 G_B: 0.198 D_A: 0.477 D_B: 0.350 cycle_A: 0.361 cycle_B: 0.384 feedback_A: 4.660 feedback_B: 4.955 idt_A: 0.134 idt_B: 0.180 
(epoch: 16, iters: 20, time: 0.010, data: 0.002) G_A: 4.222 G_B: 0.036 D_A: 4.905 D_B: 0.806 cycle_A: 0.429 cycle_B: 0.388 feedback_A: 4.607 feedback_B: 4.873 idt_A: 0.152 idt_B: 0.239 
(epoch: 16, iters: 30, time: 0.009, data: 0.001) G_A: 0.001 G_B: 0.012 D_A: 1.000 D_B: 0.402 cycle_A: 0.378 cycle_B: 0.410 feedback_A: 4.851 feedback_B: 4.192 idt_A: 0.190 idt_B: 0.175 
(epoch: 16, iters: 40, time: 0.010, data: 0.001) G_A: 1.823 G_B: 0.001 D_A: 2.836 D_B: 0.472 cycle_A: 0.401 cycle_B: 0.418 feedback_A: 4.400 feedback_B: 4.219 idt_A: 0.175 idt_B: 0.171 
(epoch: 17, iters: 0, time: 0.009, data: 0.001) G_A: 0.339 G_B: 0.996 D_A: 0.106 D_B: 0.019 cycle_A: 0.375 cycle_B: 0.440 feedback_A: 4.391 feedback_B: 4.246 idt_A: 0.172 idt_B: 0.174 
(epoch: 17, iters: 10, time: 0.011, data: 0.001) G_A: 4.033 G_B: 0.119 D_A: 4.551 D_B: 1.206 cycle_A: 0.439 cycle_B: 0.387 feedback_A: 4.092 feedback_B: 4.424 idt_A: 0.157 idt_B: 0.188 
(epoch: 17, iters: 20, time: 0.012, data: 0.001) G_A: 1.639 G_B: 1.227 D_A: 1.060 D_B: 2.225 cycle_A: 0.512 cycle_B: 0.478 feedback_A: 4.823 feedback_B: 4.327 idt_A: 0.143 idt_B: 0.166 
(epoch: 17, iters: 30, time: 0.010, data: 0.001) G_A: 2.249 G_B: 3.120 D_A: 0.265 D_B: 1.370 cycle_A: 0.471 cycle_B: 0.390 feedback_A: 4.247 feedback_B: 4.356 idt_A: 0.159 idt_B: 0.188 
(epoch: 17, iters: 40, time: 0.010, data: 0.001) G_A: 2.649 G_B: 0.765 D_A: 1.293 D_B: 0.555 cycle_A: 0.381 cycle_B: 0.428 feedback_A: 4.031 feedback_B: 3.810 idt_A: 0.174 idt_B: 0.162 
(epoch: 18, iters: 0, time: 0.009, data: 0.001) G_A: 0.067 G_B: 0.339 D_A: 0.825 D_B: 0.183 cycle_A: 0.449 cycle_B: 0.392 feedback_A: 3.686 feedback_B: 4.173 idt_A: 0.154 idt_B: 0.176 
(epoch: 18, iters: 10, time: 0.010, data: 0.001) G_A: 5.771 G_B: 0.559 D_A: 2.524 D_B: 1.696 cycle_A: 0.488 cycle_B: 0.438 feedback_A: 4.214 feedback_B: 3.944 idt_A: 0.132 idt_B: 0.166 
(epoch: 18, iters: 20, time: 0.009, data: 0.001) G_A: 0.002 G_B: 0.114 D_A: 0.806 D_B: 0.919 cycle_A: 0.400 cycle_B: 0.417 feedback_A: 3.764 feedback_B: 3.843 idt_A: 0.142 idt_B: 0.159 
(epoch: 18, iters: 30, time: 0.010, data: 0.001) G_A: 0.059 G_B: 1.207 D_A: 1.366 D_B: 0.202 cycle_A: 0.486 cycle_B: 0.447 feedback_A: 3.560 feedback_B: 4.662 idt_A: 0.156 idt_B: 0.167 
(epoch: 18, iters: 40, time: 0.009, data: 0.001) G_A: 0.016 G_B: 2.125 D_A: 0.454 D_B: 3.245 cycle_A: 0.434 cycle_B: 0.429 feedback_A: 3.784 feedback_B: 4.061 idt_A: 0.162 idt_B: 0.177 
(epoch: 19, iters: 0, time: 0.011, data: 0.002) G_A: 0.182 G_B: 1.472 D_A: 1.029 D_B: 0.808 cycle_A: 0.356 cycle_B: 0.379 feedback_A: 3.366 feedback_B: 3.660 idt_A: 0.127 idt_B: 0.152 
(epoch: 19, iters: 10, time: 0.011, data: 0.002) G_A: 0.855 G_B: 0.521 D_A: 1.355 D_B: 1.565 cycle_A: 0.385 cycle_B: 0.380 feedback_A: 3.341 feedback_B: 3.885 idt_A: 0.133 idt_B: 0.168 
(epoch: 19, iters: 20, time: 0.010, data: 0.001) G_A: 0.444 G_B: 0.048 D_A: 0.237 D_B: 0.444 cycle_A: 0.371 cycle_B: 0.394 feedback_A: 3.528 feedback_B: 3.739 idt_A: 0.158 idt_B: 0.146 
(epoch: 19, iters: 30, time: 0.010, data: 0.001) G_A: 0.135 G_B: 0.104 D_A: 0.687 D_B: 1.063 cycle_A: 0.354 cycle_B: 0.354 feedback_A: 3.096 feedback_B: 3.722 idt_A: 0.119 idt_B: 0.182 
(epoch: 19, iters: 40, time: 0.010, data: 0.001) G_A: 0.104 G_B: 0.349 D_A: 0.627 D_B: 0.129 cycle_A: 0.383 cycle_B: 0.374 feedback_A: 3.206 feedback_B: 3.822 idt_A: 0.131 idt_B: 0.165 
(epoch: 20, iters: 0, time: 0.011, data: 0.002) G_A: 0.076 G_B: 0.029 D_A: 0.600 D_B: 0.397 cycle_A: 0.404 cycle_B: 0.376 feedback_A: 3.245 feedback_B: 3.620 idt_A: 0.122 idt_B: 0.158 
(epoch: 20, iters: 10, time: 0.009, data: 0.001) G_A: 0.382 G_B: 0.908 D_A: 1.335 D_B: 1.911 cycle_A: 0.353 cycle_B: 0.365 feedback_A: 3.042 feedback_B: 3.703 idt_A: 0.118 idt_B: 0.175 
(epoch: 20, iters: 20, time: 0.009, data: 0.001) G_A: 0.843 G_B: 2.352 D_A: 1.863 D_B: 3.211 cycle_A: 0.371 cycle_B: 0.369 feedback_A: 3.057 feedback_B: 3.694 idt_A: 0.128 idt_B: 0.149 
(epoch: 20, iters: 30, time: 0.009, data: 0.001) G_A: 0.069 G_B: 0.028 D_A: 1.425 D_B: 0.353 cycle_A: 0.380 cycle_B: 0.376 feedback_A: 3.238 feedback_B: 3.794 idt_A: 0.132 idt_B: 0.164 
(epoch: 20, iters: 40, time: 0.009, data: 0.001) G_A: 0.183 G_B: 0.219 D_A: 0.277 D_B: 0.282 cycle_A: 0.325 cycle_B: 0.355 feedback_A: 3.386 feedback_B: 3.388 idt_A: 0.142 idt_B: 0.150 
(epoch: 21, iters: 0, time: 0.009, data: 0.002) G_A: 0.001 G_B: 0.377 D_A: 0.751 D_B: 0.354 cycle_A: 0.393 cycle_B: 0.365 feedback_A: 3.217 feedback_B: 3.713 idt_A: 0.148 idt_B: 0.188 
