set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
Pertussis,0.9698565202541751,16/34,IL12A;GNAI1;CALML6;C1R;IRF1;CALML4;GNAI3;PYCARD;MAPK11;ITGAM;C4B;IRF3;IRF8;FOS;NLRP3;TICAM2,0.9777415788816632,17/34,C4BPA;IL12A;GNAI1;IL10;NOD1;CALML6;IL12B;C1R;IRF1;GNAI3;ITGAM;MAPK11;IRF3;IRF8;FOS;NLRP3;C4B,34
Inflammatory mediator regulation of TRP channels,0.9715043451172973,17/36,CAMK2D;ITPR3;CALML6;HTR2A;CYP2J2;ADCY4;P2RY2;PLA2G4A;TRPM8;PRKCG;PLCG2;PTGER2;MAPK11;CALML4;MAP2K6;TRPV2;BDKRB2,0.9573871052917068,19/36,PLA2G6;CAMK2D;PLA2G4F;CALML6;NGF;PLA2G4A;PLCG2;MAPK11;TRPV2;BDKRB2;ITPR3;PRKCG;PTGER2;MAP2K6;GNAQ;ITPR2;PIK3CB;ADCY4;PLCB3,36
B cell receptor signaling pathway,0.9730829943802753,18/38,RASGRP3;INPPL1;PPP3CC;CARD11;BTK;SYK;NFKBIE;NFKBIA;MAP2K1;PLCG2;AKT3;MAP2K2;RAF1;LILRA5;LILRB1;FOS;BLNK;DAPP1,0.784423808815569,23/38,RAF1;BLNK;LILRA3;NRAS;PLCG2;MAP2K2;NFKBIB;IKBKG;RASGRP3;INPPL1;BTK;LILRB1;FOS;PPP3CC;PIK3CB;CARD11;SYK;LILRA4;NFKBIA;MAP2K1;AKT3;LILRA5;DAPP1,38
Gastric cancer,0.9736728448594797,35/69,FRAT1;RAF1;FGF10;RXRB;RPS6KB2;FZD3;CCNE1;E2F3;SHC3;ARAF;FGF3;MAP2K2;FGF6;CCNE2;FZD9;E2F1;BRAF;ABCB1;FZD10;DDB2;FZD8;FGFR2;GADD45G;FGF22;WNT5B;LRP5;FRAT2;GADD45A;CDX2;FGF17;TCF7L1;MAP2K1;AKT3;FZD2;WNT5A,0.2664990779592988,48/69,FRAT1;RXRG;WNT7A;CTNNA3;CSNK1A1L;FGF8;WNT10B;RAF1;FGF10;RXRB;WNT3A;CCNE1;NRAS;WNT8B;E2F3;SHC3;ARAF;FGF3;MAP2K2;FGF4;WNT9A;FZD9;WNT2B;E2F1;BRAF;ABCB1;TGFB1;FGF21;TCF7L2;FZD8;DDB2;FGFR2;GADD45G;FGF22;WNT5B;LRP5;WNT8A;PIK3CB;FRAT2;FGF23;FGF17;GADD45A;TCF7L1;MAP2K1;AKT3;FZD2;WNT5A;EGF,69
Sphingolipid metabolism,0.97382232024795,7/17,SPHK2;UGT8;SGPP2;ARSA;GAL3ST1;UGCG;GLA,0.988676873824766,7/17,SPHK2;UGT8;ARSA;SPTLC1;GAL3ST1;UGCG;GLA,17
Nicotine addiction,0.9749492135070547,10/23,GABRR1;SLC17A7;GABRA3;GABRP;GRIA1;GABRA5;GRIN3A;CHRNA4;GABRA6;GABRG3,0.9972110030131438,9/23,GABRR1;CACNA1A;GABRA3;GABRP;GRIA1;CACNA1B;GABRA5;GRIN3A;CHRNA4,23
Coronavirus disease,0.9800591590819435,44/86,IKBKE;IL12A;CCL2;RPL36;TLR8;RPL36AL;RPS3;STAT2;IRF3;RPS20;NLRP3;TLR3;C3AR1;RPS21;PLCG2;IRF9;MAPK11;UBA52;RPL10L;RPS9;RPL7;RPS27L;F13A1;FCGR2A;TLR2;PRKCG;RPL22L1;FOS;RPS23;RPL35A;RPS12;C9;RPS16;IFNA8;C1R;SYK;MMP1;RPS18;NFKBIA;IFIH1;RPL8;IFNA10;TNFRSF1A;C4B,0.8975270140882426,51/86,IKBKE;IL12A;CCL2;RPL36;TLR8;RPL36AL;RPS3;STAT2;IRF3;IFNAR1;TMPRSS2;RPS20;NLRP3;C3AR1;EIF2AK2;IL12B;DDX58;RPS21;PLCG2;IRF9;MAPK11;RPL11;UBA52;RPL3L;IFNA14;RPL26;RPS9;NFKBIB;RPL7;IKBKG;IFNA21;PRKCG;RPL22L1;FOS;RPS23;RPL35A;RPS12;RPS16;PIK3CB;C1R;SYK;MMP1;RPS18;NFKBIA;F13B;IFIH1;ACE2;RPL8;RPS27L;TNFRSF1A;C4B,86
Natural killer cell mediated cytotoxicity,0.9810693904190069,24/50,IFNGR1;HCST;KIR2DS1;RAF1;LCP2;NCR2;KIR3DL3;KLRC2;PLCG2;ARAF;SHC3;MAP2K2;IFNGR2;ICAM1;MICA;BRAF;PRKCG;IFNA8;TYROBP;PPP3CC;SYK;NCR3;MAP2K1;IFNA10,0.9959919341922596,24/50,IFNGR1;RAF1;LCP2;IFNAR1;ULBP1;NCR2;NRAS;KLRC2;PLCG2;ARAF;SHC3;MAP2K2;IFNA14;IFNGR2;ICAM1;MICA;BRAF;IFNA21;PRKCG;PPP3CC;PIK3CB;SYK;NCR3;MAP2K1,50
Pancreatic secretion,0.982165961704857,25/52,ATP2A1;ATP1A3;CPB1;PLA2G10;PLA2G2A;BST1;CLCA1;PLA2G12A;ATP1B2;ATP1A2;CCKAR;ITPR3;PLA2G1B;PRKCG;CLCA2;AMY1C;SLC4A2;CA2;CPA1;RAB27B;RYR2;SLC9A1;ATP1A1;ATP1B3;ADCY4,0.9919693532592933,26/52,ATP2A1;ATP1A3;CPB1;PNLIPRP1;PLA2G10;CD38;PLA2G2A;BST1;CLCA4;ATP1B2;ATP1A2;ITPR3;PRKCG;AMY1C;SCT;SLC4A2;CA2;GNAQ;ITPR2;RAB27B;RYR2;SLC9A1;ATP1A1;ATP1B3;ADCY4;PLCB3,52
Glutamatergic synapse,0.9855922982170633,22/47,GRM6;GNG3;GNAI3;KCNJ3;GNAI1;PLA2G4A;GNG8;PLD2;GNG12;GNG5;ITPR3;SLC17A7;PRKCG;GRIA1;SHANK3;GRM4;PPP3CC;HOMER1;GRIN3A;SLC1A6;ADCY4;SLC1A7,0.8342373219607744,28/47,GRM6;GNG3;GNAI3;GNG13;KCNJ3;GNAI1;CACNA1A;PLA2G4F;PLA2G4A;GNG8;PLD2;GNG12;ITPR3;ADCY4;PRKCG;GRIA1;GRM4;GNAQ;ITPR2;SHANK3;GNB3;PPP3CC;HOMER1;GRIN3A;SLC1A6;GRM3;SLC1A7;PLCB3,47
Graft-versus-host disease,0.9858855160124715,6/16,KIR3DL3;HLA-DRB1;HLA-DRB3;HLA-DRB4;HLA-DMB;HLA-DOB,0.9998128757930966,4/16,HLA-DMB;HLA-DRB1;HLA-DOB;HLA-DRB4,16
