set,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes,Genes
Fructose and mannose metabolism,0.2518163102918671,0.9999978724542887,11/15,PFKM;FBP1;GMDS;PMM1;PMM2;KHK;FPGT;ALDOC;PFKFB4;FBP2;TPI1,0.024193560444511427,0.24937977688957932,14/15,PFKM;FBP1;GMDS;PMM1;FBP2;PFKFB1;PMM2;MPI;FPGT;ALDOC;PFKFB4;PFKP;TPI1;AKR1B1,15
GABAergic synapse,0.8067599500666689,0.9999978724542887,23/41,GABRR1;GABRP;SLC6A11;CACNA1F;KCNJ6;GABARAP;SLC12A5;ADCY4;GNG5;GABRA3;GNG8;GNAI3;SLC6A12;GNAI1;SLC6A13;GNG12;PRKCG;GABBR2;GABRG3;SLC38A5;GABRA5;GABRA6;GNG3,0.7851442873930746,0.9999999908549448,26/41,GABRR1;GABRP;SLC6A11;KCNJ6;GABARAP;SLC12A5;ADCY4;CACNA1B;GAD2;GABRA3;GNG8;GNAI3;SLC6A12;GNAI1;SLC6A13;GNG12;PRKCG;GABBR2;GABRG3;GABRD;GNGT2;SLC38A5;GABRA5;GABRR2;GNG13;GNG3,41
Galactose metabolism,0.8339597105480018,0.9999978724542887,9/17,B4GALT1;PFKM;PGM2;SI;GALK1;GLA;PGM1;UGP2;GCK,0.5210969081267194,0.9934006185891936,12/17,B4GALT1;PFKM;PGM2;LCT;GALK1;GLA;MGAM;UGP2;GCK;G6PC3;PFKP;AKR1B1,17
Gap junction,0.9331791749158622,0.9999978724542887,16/32,TUBA8;PRKCG;TUBB2A;RAF1;MAP2K2;ITPR3;TUBAL3;TUBA1A;GNAI3;HTR2A;ADRB1;TUBB8;GNAI1;TUBA3C;MAP2K1;ADCY4,0.684765827029421,0.9999999908549448,21/32,RAF1;ITPR3;TUBA1A;ADRB1;GNAQ;TUBB8;TUBA8;TUBA1B;CSNK1D;ADCY4;NRAS;TUBB2A;EGF;GNAI3;GNAI1;GUCY1A2;DRD1;PRKCG;MAP2K2;TUBA3C;MAP2K1,32
Gastric acid secretion,0.8812177983762475,0.9999978724542887,22/41,ITPR3;ATP1A2;KCNK10;CCKBR;CALML6;SLC4A2;CALML4;ATP1A3;ADCY4;CAMK2D;ATP1B2;CA2;SLC9A1;KCNJ15;KCNJ16;GNAI3;GNAI1;MYLK2;PRKCG;ATP1A1;KCNK2;ATP1B3,0.9603823859900521,0.9999999908549448,23/41,ITPR3;GNAQ;KCNK10;ATP1A2;CCKBR;CALML6;SLC4A2;ATP1A3;KCNE2;ADCY4;ATP1B2;CA2;SLC9A1;KCNJ15;KCNJ16;GNAI3;GNAI1;MYLK2;PRKCG;ATP1A1;GAST;KCNK2;ATP1B3,41
Gastric cancer,0.9736728448594797,0.9999978724542887,35/69,ABCB1;RAF1;AKT3;FGF22;LRP5;SHC3;FZD8;RPS6KB2;TCF7L1;CCNE1;ARAF;GADD45A;FGF10;CCNE2;FZD10;FZD9;FRAT2;GADD45G;CDX2;WNT5A;DDB2;WNT5B;E2F3;FGFR2;FZD3;FRAT1;FGF6;RXRB;MAP2K2;FZD2;BRAF;FGF3;FGF17;MAP2K1;E2F1,0.11248114779298786,0.588775569849799,52/69,ABCB1;RAF1;AKT3;FGF22;WNT8B;LRP5;SHC3;FZD8;RPS6KB2;FGF21;CTNNA3;TCF7L1;CCNE1;WNT3A;PIK3CA;RXRG;ARAF;GADD45A;FGF10;FZD10;FZD9;FRAT2;GADD45G;FGF8;WNT9A;WNT5A;DDB2;NRAS;EGF;WNT5B;E2F3;WNT10B;FGFR2;BAK1;FRAT1;FGF23;CSNK1A1L;FGF4;WNT2B;RXRB;MAP2K2;WNT8A;FZD2;PIK3CB;BRAF;FGF3;TGFB1;TCF7L2;FGF17;MAP2K1;E2F1;WNT7A,69
Ether lipid metabolism,0.577453042827575,0.9999978724542887,13/21,GDPD1;PLD2;PAFAH1B3;UGT8;PAFAH2;PLA2G12A;PLA2G1B;PLA2G2A;PLA2G4A;GAL3ST1;GDPD3;PLA2G10;PLA2G7,0.647039879203638,0.9999999908549448,14/21,PLA2G4F;GDPD1;PLD2;PLA2G6;PAFAH1B3;UGT8;PAFAH2;CHPT1;PLA2G2A;PLA2G4A;GAL3ST1;GDPD3;PLA2G10;PLA2G7,21
Fat digestion and absorption,0.9912048233701927,0.9999978724542887,10/25,AGPAT1;APOA1;PLA2G12A;PLA2G1B;PLA2G2A;LIPF;MOGAT2;MTTP;DGAT1;PLA2G10,0.9999988670718174,0.9999999908549448,6/25,PNLIPRP1;PLA2G2A;MTTP;ABCG5;DGAT1;PLA2G10,25
Fatty acid degradation,0.4678895268096429,0.9999978724542887,13/20,ACADS;CPT2;ADH7;ALDH9A1;ALDH7A1;ACSL4;ADH1C;EHHADH;ACOX3;ACSL5;ACSL6;ACSBG1;CPT1C,0.9267514728450779,0.9999999908549448,11/20,ACADS;HADHB;ACSBG2;ACSL4;EHHADH;ACOX3;ACSL5;ADH4;ACSL6;ACSBG1;CPT1C,20
Fc epsilon RI signaling pathway,0.779187011847029,0.9999978724542887,14/25,RAF1;AKT3;MAP2K2;MAP2K4;MAPK11;ALOX5;FCER1A;SYK;BTK;MAP2K6;PLA2G4A;MAP2K1;PLCG2;LCP2,0.4203848948252815,0.9311004282080615,18/25,PLA2G4F;RAF1;AKT3;MAP2K2;MAP2K4;PIK3CB;MAPK11;LCP2;ALOX5;FCER1A;SYK;BTK;MAP2K6;PLA2G4A;MAP2K1;PLCG2;PIK3CA;NRAS,25
Fc gamma R-mediated phagocytosis,0.09904707030558771,0.9999978724542887,25/34,SCIN;WAS;RAF1;AKT3;PLD2;INPPL1;RPS6KB2;ARPC1B;PIP5K1B;SYK;PLA2G4A;ARPC3;PLCG2;HCK;ARPC5L;FCGR2A;ARPC5;SPHK2;MARCKS;PRKCG;LIMK1;ARPC2;MARCKSL1;DOCK1;MAP2K1,0.18813600290920565,0.70028401082871,26/34,WAS;RAF1;AKT3;PLD2;PLA2G6;INPPL1;RPS6KB2;PIK3CA;PLA2G4F;PIP5K1B;ARPC1A;SYK;PLA2G4A;ARPC3;PLCG2;HCK;ARPC5L;FCGR2A;SPHK2;MARCKS;PRKCG;LIMK1;PIK3CB;MARCKSL1;DOCK1;MAP2K1,34
Ferroptosis,0.30470224267530366,0.9999978724542887,12/17,GSS;GCLM;CP;ACSL4;SAT2;TFRC;ACSL5;GPX4;SLC39A8;ACSL6;MAP1LC3C;LPCAT3,0.5210969081267194,0.9934006185891936,12/17,GSS;ATG7;CP;ACSL4;SAT2;TFRC;ACSL5;GPX4;SLC39A8;ACSL6;MAP1LC3C;LPCAT3,17
Fluid shear stress and atherosclerosis,0.3714963561716815,0.9999978724542887,33/51,FOS;SQSTM1;AKT3;MAP2K4;GSTA4;TXN2;CCL2;MAP2K6;SELE;CALML6;CALML4;THBD;EDN1;PIAS4;GSTM2;NFE2L2;ICAM1;BMPR1B;GSTA2;SDC2;NPPC;GSTA5;GPC1;PRKAA1;GSTO2;TNFRSF1A;ARHGEF2;CYBA;MAP3K5;MAPK11;MMP9;GSTA3;ASS1,0.06779726099270435,0.45424164865111916,40/51,FOS;SQSTM1;AKT3;MAP2K4;GSTA4;TXN2;CCL2;MAP2K6;SELE;GSTP1;CALML6;MGST3;PIK3CA;THBD;EDN1;GSTM1;PIAS4;GSTM2;NFE2L2;ICAM1;BMPR1B;GSTA2;SDC2;CDH5;NPPC;GPC1;IL1B;PRKAA1;GSTO2;TNFRSF1A;ARHGEF2;PIK3CB;NOX1;MAP3K5;MAPK11;CYBA;MMP9;IKBKG;GSTA3;ASS1,51
