set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
regulation of translational initiation (GO:0006446),0.12289224166370548,20/27,POLR2G;MTIF2;EIF3H;EIF4H;RPS6KB2;EIF2B2;CDC123;NCK1;RBM4;CCL5;EIF5B;PPP1R15B;EIF4EBP1;KLHL25;EIF2B5;DDX1;ALKBH1;EIF4G1;EIF1B;PAIP2,0.3712318499178961,19/27,POLR2G;MTIF2;EIF3H;EIF4H;EIF2B2;CDC123;EIF2AK4;EIF4EBP3;RBM4;CCL5;EIF5B;PPP1R15B;EIF4EBP1;KLHL25;EIF2B5;DDX1;ALKBH1;EIF4G1;DNAJC3,27
regulation of Rho protein signal transduction (GO:0035023),0.12289224166370548,20/27,APOA1;P2RY8;MYOC;OPHN1;GPR65;EPS8L3;RAF1;GPR18;EPS8;GPR17;F2RL3;EPS8L2;ARHGEF2;RIT2;SYNPO2L;P2RY10;ARHGDIB;STARD8;GPR55;RTN4R,0.8082651391386211,16/27,ARHGDIB;GPR17;ARHGEF2;SYNPO2L;STARD8;P2RY8;OPHN1;F2RL3;GPR174;KCTD13;GPR55;RTN4R;EPS8L2;RAF1;P2RY10;EPS8,27
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",0.122975458458455,22/30,TRIAP1;E2F7;CRADD;BTG2;TFAP4;CARM1;ARID3A;E2F8;E2F1;PAXIP1;PLK2;PML;TFDP2;RPS6KA6;CNOT8;CNOT1;BCL3;GADD45A;CNOT3;TNKS1BP1;RPS27L;CNOT10,0.6692833624377392,19/30,TRIAP1;E2F7;CRADD;CNOT4;SFN;BTG2;TFAP4;CARM1;E2F8;E2F1;PLK2;PML;RPS6KA6;CNOT1;BCL3;GADD45A;CNOT3;RPS27L;CNOT10,30
I-kappaB kinase/NF-kappaB signaling (GO:0007249),0.122975458458455,22/30,NFKBIL1;MAP3K14;TLR8;TNFRSF1A;TLR3;RIPK1;REL;UBA52;PRDX4;TRAF2;TLR2;TANK;TICAM2;TLR9;BCL3;CARD11;TIAF1;NFKBIA;RBCK1;IRAK1BP1;RELB;BIRC2,0.1312704578082457,23/30,NFKBIL1;BIRC2;MAP3K14;FAIM;TLR8;IRAK2;RIPK1;UBA52;ZNF675;PRDX4;TRAF2;IKBKG;TANK;RNF31;TLR9;BCL3;CARD11;TIAF1;NFKBIA;RBCK1;IRAK1BP1;RELB;TNFRSF1A,30
regulation of G protein-coupled receptor signaling pathway (GO:0008277),0.122975458458455,22/30,GRK6;GUCA1C;SYP;FRMPD1;TULP3;KLK14;MGLL;DYNLT1;KCTD8;EDN1;PLEK;RGS2;RGS6;GUCA1A;PDE6G;CCL5;DGKQ;ADCYAP1;MRAP;PDE6H;USP20;GUCY2F,0.7919715134296644,18/30,ADCYAP1;FRMPD1;PLEK;MRAP;RGS2;GUCA1A;TULP3;PDE6G;CALCR;USP20;MGLL;CCL5;KCTD8;GUCY2D;SYP;FNTA;EDN1;DGKQ,30
cellular calcium ion homeostasis (GO:0006874),0.12307342425363907,43/62,CCL1;ATP13A3;STIM2;ATP2A1;EDN2;TRPC6;DMPK;STIM1;HERPUD1;ANXA6;TNNI3;SLC30A1;CALR;CAMK2D;CCL19;HCRTR1;PDZD8;LETM1;EDN1;ATP2C1;STOML2;FZD9;SCGN;WFS1;TRPC5;ATP2C2;CCL15;ATP13A1;ATP13A5;CALB1;CCL5;PML;WBP2NL;CALB2;SLC24A2;CALCB;HTR2A;RYR2;HRC;SLC24A4;CCL7;SLC10A7;HCRTR2,0.300412482309074,43/62,CCL1;ATP13A3;STIM2;ATP2A1;EDN2;TRPC6;DMPK;STIM1;HERPUD1;ANXA6;CDH5;TNNI3;CALR;CAMK2D;CCL19;HCRTR1;PDZD8;LETM1;EDN1;ATP2C1;STOML2;FZD9;PKHD1;SCGN;WFS1;TRPC5;ATP13A1;CCL5;CTRC;CALB1;PML;WBP2NL;GCM2;CALB2;SLC24A2;CALCB;TRPC7;RYR2;HRC;SLC24A4;CCL7;SLC10A7;HCRTR2,62
organic substance transport (GO:0071702),0.12982108685026142,50/73,SLC6A2;APOA1;ABCA4;SLC19A1;PEX3;ABCA8;TAP1;TAP2;SLC22A4;RAMP2;SLC22A2;ARRDC4;APOA5;CD320;SNX4;FLVCR1;ABCA10;AQP9;LMAN2L;SLC18A1;SLCO2B1;CD3G;RHCG;SCAMP4;LRP1B;CETP;SLC17A3;SLC19A2;ABCC11;SLCO1B1;SLC18A2;RUFY1;SLC35F3;ABCA3;ABCA6;SCAMP5;SLC29A4;TOM1;SLCO2A1;SLC22A10;ABCA2;PLEKHA8;ABCA7;ABCD1;ABCG4;CUBN;SLC22A16;ARRDC5;SLC6A3;CALCRL,0.3316353188703619,50/73,SLC6A2;ABCA4;SLC19A1;ABCA8;TAP1;TAP2;SLC22A4;CHMP1B;ARRDC4;ABCG5;APOA5;CD320;SNX4;RAB38;LRP2;ABCA10;AQP9;LMAN2L;SLC18A1;SLCO2B1;CD3G;RHCG;SCAMP4;LRP1B;CETP;SLC19A2;ABCC11;SLCO1B1;SLC18A2;RUFY1;SLC35F3;ABCA3;ABCA6;SCAMP5;SLC29A4;TOM1;SLCO2A1;SLC22A10;ABCA2;PLEKHA8;ABCA7;ABCA13;ABCD1;ABCG4;SLC22A5;CUBN;SLC22A16;ARRDC5;SLC6A3;CALCRL,73
cellular protein localization (GO:0034613),0.13588440373388966,73/109,TBC1D22B;RAB5B;TMED4;STX12;CORO1B;RRAGA;NAPA;NGFR;TM9SF1;BBS2;VPS26A;TBC1D2;RTP4;TBC1D16;FGF10;TRIM23;AP4M1;RAB20;ARL14;AP3B1;STX10;ERP29;TBC1D10C;SNX8;EVI5L;STX2;TBC1D17;TMED9;TMED6;ARFIP1;DUOXA2;STXBP3;STX3;SEC31B;ARF4;ARFGAP3;TBC1D4;ATG9A;RAB3GAP2;TBC1D9;HPS6;TMED7;TBC1D10A;ARHGEF2;YWHAH;TM9SF3;ARL4C;TMED3;PTPRK;SCFD2;SIL1;WDR45;CNTNAP1;ZDHHC15;TMED1;TICAM2;SCG5;EMP2;SNX6;RAB6C;ARFIP2;ARL6;RRAGD;KIF13A;COG7;EPB41L3;TBC1D21;OXA1L;RAP2A;GPIHBP1;STX8;WNT5A;STX7,0.06828737132450821,79/109,PDCD6;TBC1D2;AP4M1;ERP29;ARF4;ARFGAP3;HPS6;ARHGEF2;TMED3;STX5;AP2A1;SCG5;OXA1L;RAP2A;STX8;STX7;TBC1D22B;TMED4;STX12;CORO1B;TM9SF1;BBS2;TBC1D16;RAB20;AP3B1;DMD;RAB38;TBC1D17;TBC1D10A;TMED1;GPIHBP1;RTP3;EHD1;TBC1D22A;FGF10;STX10;TBC1D10C;SNX8;ARFIP1;SEC31B;TBC1D4;ATG9A;YWHAH;TM9SF3;CNTNAP1;ADPRH;ZDHHC15;SNX6;UNC93B1;KIF13A;EPB41L3;GGA1;STX11;EVI5L;WNT5A;TMED9;RAB5B;NGFR;GRID2;TRIM23;STX2;TMED6;DUOXA2;STXBP3;STX3;TBC1D10B;ARFRP1;TBC1D9;NAPB;ARL4C;SCFD2;WIPI1;WDR45;PTPRU;EMP2;RAB6C;ARFIP2;ARL6;STX17,109
stimulatory C-type lectin receptor signaling pathway (GO:0002223),0.13720964475880557,33/47,PSMB8;CLEC4E;MUC4;RAF1;ICAM3;PSMB4;KLRC2;CLEC10A;PLCG2;MUC16;PSMA2;PSMC5;MUCL1;PSMD4;PSMA4;MUC15;PSMB10;PSMD14;PSMD6;TYROBP;PSMD8;PSMD7;CARD11;SYK;CLEC4A;PSME4;RELB;PSMB3;PSMD11;PSMA5;PSMC3;PSMD2;MUC7,0.03397962279677625,37/47,PSMB8;CLEC4E;MUC4;RAF1;CLEC4C;PSMA8;PSMB4;CLEC7A;NRAS;PSMB6;KLRC2;CLEC10A;PLCG2;MUC16;PSMA2;PSMC5;IKBKG;PSMD4;PSMA4;MUC15;PSME2;PSMD14;PSMD6;PSME3;PSMD8;PSMD7;CARD11;SYK;CLEC4A;PSME4;RELB;PSMB3;PSMD11;PSMA5;PSMC3;PSMD2;MUC7,47
cellular response to lectin (GO:1990858),0.13720964475880557,33/47,PSMB8;CLEC4E;MUC4;RAF1;ICAM3;PSMB4;KLRC2;CLEC10A;PLCG2;MUC16;PSMA2;PSMC5;MUCL1;PSMD4;PSMA4;MUC15;PSMB10;PSMD14;PSMD6;TYROBP;PSMD8;PSMD7;CARD11;SYK;CLEC4A;PSME4;RELB;PSMB3;PSMD11;PSMA5;PSMC3;PSMD2;MUC7,0.03397962279677625,37/47,PSMB8;CLEC4E;MUC4;RAF1;CLEC4C;PSMA8;PSMB4;CLEC7A;NRAS;PSMB6;KLRC2;CLEC10A;PLCG2;MUC16;PSMA2;PSMC5;IKBKG;PSMD4;PSMA4;MUC15;PSME2;PSMD14;PSMD6;PSME3;PSMD8;PSMD7;CARD11;SYK;CLEC4A;PSME4;RELB;PSMB3;PSMD11;PSMA5;PSMC3;PSMD2;MUC7,47
