set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
histone-serine phosphorylation (GO:0035404),0.9617523071935135,122.0,0.8776712634464522,458.0
lysosomal microautophagy (GO:0016237),0.9611992934848158,123.5,1.0182034456539564,217.5
piecemeal microautophagy of the nucleus (GO:0034727),0.9611992934848158,123.5,1.0182034456539564,217.5
regulation of protein K63-linked ubiquitination (GO:1900044),0.9537856737458172,125.0,0.9342579122649453,335.0
RNA stabilization (GO:0043489),0.9504399792947368,126.0,1.1046107361316568,131.0
leucine catabolic process (GO:0006552),0.9497868129367311,127.5,0.9763384895873847,261.5
leucine metabolic process (GO:0006551),0.9497868129367311,127.5,0.9763384895873847,261.5
establishment of protein localization to mitochondrion (GO:0072655),0.9481661248828899,129.0,1.0255822552294747,209.0
nucleotide biosynthetic process (GO:0009165),0.9480197296253804,130.0,0.9670937107045692,274.0
mitochondrial translational elongation (GO:0070125),0.9471409655061498,131.0,1.1677185199222762,90.0
translational termination (GO:0006415),0.9446656568533396,132.0,1.1676680918636866,91.0
endoplasmic reticulum tubular network organization (GO:0071786),0.9420292511872355,133.0,0.8707855300545584,469.0
anterograde axonal protein transport (GO:0099641),0.9416137661636388,135.0,1.081404144338217,150.0
protein localization to presynapse (GO:1905383),0.9416137661636388,135.0,1.081404144338217,150.0
axo-dendritic protein transport (GO:0099640),0.9416137661636388,135.0,1.081404144338217,150.0
nuclear pore complex assembly (GO:0051292),0.9393609969454497,137.0,1.0727783616901045,154.0
regulation of DNA recombination at telomere (GO:0072695),0.9390602929940024,138.5,1.1377805373208643,104.5
negative regulation of DNA recombination at telomere (GO:0048239),0.9390602929940024,138.5,1.1377805373208643,104.5
reticulophagy (GO:0061709),0.9370635265005829,140.0,0.9075433434930739,392.0
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",0.9366347136799437,141.0,1.1499189167593191,101.0
translational elongation (GO:0006414),0.9343460111321897,142.0,1.154243838349913,100.0
protein insertion into mitochondrial inner membrane (GO:0045039),0.934077176939801,143.0,0.9674831602850665,273.0
membrane biogenesis (GO:0044091),0.9324736149366438,144.0,1.084609960990852,145.0
mitotic DNA replication checkpoint signaling (GO:0033314),0.9323777055905389,145.0,1.0374183350208228,195.0
GDP-mannose metabolic process (GO:0019673),0.9318659895949559,146.0,0.9614862522363397,286.0
neuron remodeling (GO:0016322),0.9312828806705788,147.0,0.7909858551473132,704.0
retrograde axonal transport (GO:0008090),0.9293720148173094,148.0,0.8927720572542344,421.0
