set,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes,Genes
positive regulation of lymphocyte activation (GO:0051251),0.30470224267530366,0.9998690134726378,12/17,NOD2;TYROBP;TNFSF4;PYCARD;TNIP2;FGF10;IL12A;CCL2;SIRPG;THY1;NCKAP1L;TLR9,0.7770711129155322,0.9999948639545445,5/17,IL23A;FGF10;SIRPG;THY1;IL12B,17
positive regulation of lymphocyte proliferation (GO:0050671),0.40183872179077323,0.9998690134726378,24/37,TNFSF13B;CD276;CCL19;CCL5;PDCD1LG2;IL23R;FGF10;IL18;IL12A;NCK1;ANXA1;IL7;BST1;TLR9;HLA-DMB;TNFSF4;TFRC;CD70;CD40LG;CD320;LEP;NCKAP1L;GPR183;TNFRSF4,0.2044629542251626,0.9999948639545445,16/37,TNFSF13B;IL23A;HLA-DMB;FGF10;CCL19;CD70;CD40LG;CCL5;IL18;CD320;LEP;IL7;IL12B;BST1;TNFRSF13C;CD274,37
positive regulation of macroautophagy (GO:0016239),0.9913071450198179,0.9998690134726378,9/23,FYCO1;HSPB8;LRSAM1;GNAI3;ADRB2;RAB3GAP2;SESN3;RAB3GAP1;C9ORF72,0.6041911516606486,0.9999948639545445,8/23,SIRT1;FYCO1;SPTLC1;GNAI3;ADRB2;SH3GLB1;RAB3GAP1;C9ORF72,23
positive regulation of macromolecule biosynthetic process (GO:0010557),0.6838646068491812,0.9998690134726378,29/49,PIWIL2;BRPF3;FAF1;BCL3;CCL2;NSUN5;CCL19;TMEM106A;FXR2;JAK2;GLI1;INS;METTL5;NOD2;IRS1;BCAR3;NAT10;KLF4;GCK;RPS27L;TLR2;IL33;SMOC2;TLR9;PASK;EEF2;EIF4A3;HSPH1;PTH,0.8037754307214602,0.9999948639545445,15/49,PIWIL2;SIRT1;EGF;SORBS1;BRPF3;NOX1;EEF2;CCL19;JAK2;KLF4;FXR2;INS;POLDIP3;SMOC2;HSPH1,49
positive regulation of macromolecule metabolic process (GO:0010604),0.9570476960133044,0.9998690134726378,83/151,ADAM19;RDX;DKK1;GATA5;EGR1;LIMS1;OVOL2;HOXA5;RIMS1;F3;LAMP3;DTNBP1;PIP;DGKQ;TLE1;PRKAG1;KLF4;TLR2;IFNGR1;TFRC;SMO;HCFC1;GCGR;MAP2K1;E2F1;PRKAB1;ZNF804A;SELE;PDE2A;ERP29;ZC3H12A;INS;FGF6;HOXD3;IL33;CTCFL;PRKAA1;NR0B2;MBIP;RLN2;MAPK11;SLC22A2;AVP;ACTA1;DHX36;SNCA;PF4;CALCOCO1;NOTCH1;NFE2L2;ODAM;OLFM1;TLR9;EPHX2;GREM1;BRAF;CITED2;RAMP2;FGF22;WFS1;LILRB1;PDCD5;NOS1AP;EMILIN1;TLR3;RPS3;TYROBP;FGF10;PLCG2;WNT5A;AMH;SCYL2;MYLK2;TTN;BMP2;LRP3;CITED1;TRIM28;FGF3;FGF17;HEY1;SRY;GABPA,0.7537464314903451,0.9999948639545445,50/151,PRKAB1;WT1;ADAM19;DLL4;ALOX12B;WFS1;ACTA1;SELE;IL13;PDE2A;NOS1AP;ERP29;SNCA;RPS3;FGF10;PF4;CALCOCO1;GATA5;HAND2;INS;FGF8;PLCG2;F3;LAMP3;NAT8;EGF;DTNBP1;DGKQ;AMH;TLE1;PRKAG1;KLF4;OLFM1;HOXD3;MYLK2;ADM2;CTCFL;PRKAA1;MBIP;BMP2;CITED1;GREM1;HFE;RLN2;SMO;SLC22A2;GCGR;TGFB1;FGF17;NGF,151
positive regulation of metabolic process (GO:0009893),0.3714963561716815,0.9998690134726378,33/51,PRKAB1;CPT2;ADRB1;ZNF516;ADRB3;TRPV2;GHRL;GATM;CAMK1D;JAK2;STAT6;SYK;GADD45G;IL18;PPARGC1B;INS;G0S2;HCRT;SLN;LPIN1;TRPM8;HSF1;FH;DBH;LEPR;ADCYAP1;AGPAT1;DYNC1H1;CNOT3;FASN;ADRB2;LEP;SIRT6,0.773479827992173,0.9999948639545445,16/51,PRKAB1;ADCYAP1;DYNC1H1;GHRL;UCP1;CAMK1D;JAK2;HDAC3;ADRB2;SYK;IL18;TRPM8;LEP;INS;IL13;TRPV2,51
positive regulation of interleukin-17 production (GO:0032740),0.9932440254314963,0.9998690134726378,5/15,NOD2;CCL1;IL18;RFTN1;IL23R,0.12050995885651648,0.9999948639545445,8/15,IL23A;NR1H4;SLAMF6;CCL1;IL18;TGFB1;RFTN1;IL12B,15
positive regulation of interleukin-6 production (GO:0032755),0.6635096335967481,0.9998690134726378,25/42,IL17D;TMEM106A;IFIH1;NLRP10;LILRA5;TYROBP;TLR3;SYK;PLCG2;WNT5A;LPL;NOD2;TLR8;PYCARD;MBP;IL33;TLR2;SPHK2;TLR9;ARHGEF2;TNFSF4;CYBA;LEP;C1QTNF4;IL17A,0.9999780335060188,0.9999948639545445,4/42,LEP;PLCG2;SYK;ARHGEF2,42
positive regulation of interleukin-8 production (GO:0032757),0.7849776801294741,0.9998690134726378,18/32,DDIT3;F3;NOD2;TLR3;TLR8;PYCARD;RIPK1;TLR5;PLA2G1B;IL17D;SYK;APOA2;CD2;TLR2;NLRP10;LEP;CD58;TLR9,0.9882836928361415,0.9999948639545445,6/32,F3;FFAR2;RIPK1;SYK;LEP;CD2,32
positive regulation of intracellular protein transport (GO:0090316),0.9062681117038052,0.9998690134726378,21/40,TFDP2;ITGB1BP1;ITGAM;HCLS1;SREBF2;PPP3CC;B3GAT3;HTRA2;ZC3H12A;PDZK1;AKAP5;UBL4B;BAD;OAZ2;YWHAH;KIF20B;EMD;TRIM28;E2F1;SORL1;HSPA1L,0.5829104869434749,0.9999948639545445,14/40,KCNB1;SREBF2;RNF31;B3GAT3;HTRA2;ITGB1BP1;HDAC3;SH3GLB1;CAMK1;RUFY3;TGFB1;YWHAH;KIF20B;HCLS1,40
positive regulation of intracellular signal transduction (GO:1902533),0.9639909502737436,0.9998690134726378,128/229,NMI;S100A13;TMED4;DHX58;RYK;IAPP;IQGAP1;RPS20;LRRC19;PIK3CG;GOLPH3;RRAGD;BOK;P2RX3;AKR1C3;LIMS1;PPP5C;AGT;HLA-DRB1;BAD;F3;NOD2;IRS1;GFRAL;SEMA4D;DDX1;BCAR3;F10;TLR2;ADRA1A;TNFRSF1A;TFRC;LEP;CHD5;RRAGA;TNFSF14;PLK2;EDA2R;RIT2;CDH13;S100B;P2RY12;LILRA5;C20ORF27;DDIT3;JAK2;PHB2;IL18;ATP2C1;INS;S100A9;PELI1;ICOS;FGFR2;BIRC2;FGF6;DNM1L;GCNT2;CARD11;TNIP2;TICAM2;ADRB2;TNFRSF19;CCDC22;MYOC;TRIM34;TMEM106A;GAPDH;HPSE;ADRB3;DHX36;PLEKHG5;TRIML1;STYXL1;HAX1;FNIP1;TEK;S100A4;RBCK1;NRG4;ADRA2B;HCST;CD27;NRG2;SPHK2;TRAF2;NUP62;S100A8;TLR9;GRM4;TMEM101;RIPK1;TSPYL5;ADRA1D;ADAM8;REL;TBX1;FGF22;ITGB1BP1;CCL19;CCL5;NFAT5;NOS1AP;HCLS1;TLR3;RPS3;FGF10;MAP3K14;PLCG2;ZNF622;WNT5A;MST1R;ADRA2C;TRAT1;IKBKE;CCL4;NEK6;TERF2IP;BMP2;WDR24;CX3CR1;RTN4;FGF3;CCR7;C1QTNF4;FGF17;HTR6;UBD,0.7422552469864034,0.9999948639545445,77/229,RYK;DHX58;IQGAP1;PIK3CG;GOLPH3;BOK;AKR1C3;PPP5C;AGT;F3;GFRAL;EGF;SEMA4D;RNF31;TRIM52;LEP;TGFB1;CHD5;TNFSF14;PLK2;EDA2R;P2RX2;C20ORF27;JAK2;PHB2;IL18;ATP2C1;INS;PELI1;ICOS;FGFR2;HDAC3;BIRC2;GCNT2;ADRB2;TRIM68;TNFRSF19;GPR61;AREG;ALOX12B;TRIM34;CD4;PLEKHG5;HAX1;TEK;FGF8;ADRA2B;CD27;TRAF2;GDF15;IL23A;GRM4;EIF2AK2;TMEM101;RIPK1;IL12B;TBX1;ITGB1BP1;CCL19;CCL5;SLC35B2;NFAT5;NOS1AP;HCLS1;RPS3;SIRT1;P2RX4;FGF10;PLCG2;FAM110C;MST1R;CCL4;BMP2;WDR24;FGF17;HTR6;UBD,229
positive regulation of ion transport (GO:0043270),0.9757074639746977,0.9998690134726378,11/25,WFS1;DLG1;KIF5B;CCL5;CCL4;STIM2;LILRA5;VAMP8;TRPC6;SCN4B;SNX4,0.8385718011462135,0.9999948639545445,7/25,P2RX4;WFS1;CCL5;CCL4;STIM2;FHL1;FFAR1,25
positive regulation of leukocyte chemotaxis (GO:0002690),0.812253275671817,0.9998690134726378,12/22,CSF1R;RARRES2;CREB3;IL12A;CALR;CCR7;CCL1;CCL5;S100A7;EDN2;S100A14;PLA2G7,0.9342737243501681,0.9999948639545445,5/22,CREB3;CCL1;CCL5;S100A7;PLA2G7,22
positive regulation of innate immune response (GO:0045089),0.9270923065649072,0.9998690134726378,8/17,NMI;POLR3G;TLR8;RIOK3;CCL5;POLR3D;WNT5A;ADAM8,0.9699856627940925,0.9999948639545445,3/17,POLR3D;CCL5;POLR3C,17
positive regulation of interferon-gamma production (GO:0032729),0.7479562698977744,0.9998690134726378,16/28,HMHB1;CD226;TLR3;CD276;TLR8;PYCARD;TNFSF4;IL12A;IL27;LILRB1;IL18;CD2;CEBPG;IL23R;TLR9;CRTAM,0.9157595025878424,0.9999948639545445,7/28,IL23A;ZFPM1;SLAMF6;IL18;CD2;IL12B;PDE4B,28
positive regulation of interleukin-1 beta production (GO:0032731),0.7185297914542086,0.9998690134726378,18/31,LPL;NOD2;TYROBP;TLR8;GSDMD;PYCARD;TRIM16;CCL19;JAK2;EGR1;PYHIN1;TMEM106A;LILRA5;NLRP3;WNT5A;IL17A;ORM1;NLRC4,0.9587329491346045,0.9999948639545445,7/31,GSDMD;TRIM16;JAK2;CCL19;PYHIN1;NLRP3;NLRC4,31
positive regulation of interleukin-1 production (GO:0032732),0.6133659744908913,0.9998690134726378,20/33,S100A13;TRIM16;CCL19;TMEM106A;NLRP10;LILRA5;ORM1;TYROBP;JAK2;EGR1;WNT5A;LPL;NOD2;TLR8;GSDMD;PYCARD;NLRC4;PYHIN1;NLRP3;IL17A,0.9751141759904829,0.9999948639545445,7/33,GSDMD;TRIM16;JAK2;CCL19;PYHIN1;NLRP3;NLRC4,33
positive regulation of interleukin-10 production (GO:0032733),0.9558133322002907,0.9998690134726378,8/18,NOD2;TNFSF4;PYCARD;CD40LG;SYK;LILRA5;PLCG2;TLR9,0.467021896361906,0.9999948639545445,7/18,IL23A;CD40LG;SYK;IL13;IL12B;PLCG2;CD274,18
positive regulation of interleukin-12 production (GO:0032735),0.30470224267530366,0.9998690134726378,12/17,TLR3;TNFSF4;MAPK11;CCL19;CCR7;CD40LG;SYK;TLR2;PLCG2;IL23R;IL17A;TLR9,0.5956713357309877,0.9999948639545445,6/17,IL23A;CCL19;CD40LG;SYK;PLCG2;IL12B,17
