set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
Endocytosis,0.035760551179329705,60/84,FOLR1;RAB11B;PSD4;IL2RB;VPS37C;SPG21;ARFGEF1;DNM3;PIP5KL1;ARFGAP3;PIP5K1B;VPS36;ARPC5L;VPS37B;ARFGEF2;VPS28;EPN1;PARD3;SH3GL2;ARPC3;KIF5B;SNX6;SNX12;GBF1;CLTCL1;EPS15L1;HSPA1L;CAPZB;ARPC2;STAMBP;STAM;GRK6;VPS4A;CLTA;CHMP6;RAB5B;KIF5A;ARPC1B;IL2RG;HSPA6;DAB2;EHD4;PLD2;VPS25;VPS37D;RUFY2;USP8;AP2S1;RUFY1;VPS26A;ARPC5;TFRC;FGFR2;ZFYVE27;PSD2;PML;ARF4;SNX4;SMURF2;WWP1,0.06330641278134826,37/84,RAB11B;PSD4;IL2RB;VPS37C;ARFGEF1;DNM3;PIP5KL1;SNX2;VPS36;ARPC5L;EHD1;PARD3;ARPC3;SNX6;SNX12;CLTCL1;EPS15L1;CAPZB;STAMBP;STAM;GRK6;IQSEC3;CLTA;CHMP6;RAB5B;HSPA6;SH3GLB1;USP8;RUFY1;ARPC5;FGFR2;ZFYVE27;CHMP2A;CHMP1B;PML;ARF4;GBF1,84
"Valine, leucine and isoleucine degradation",0.07049208473311436,18/23,HMGCS2;ALDH7A1;MCCC1;IL4I1;OXCT1;MCCC2;HMGCL;AACS;PCCA;HIBADH;MCEE;ACADS;EHHADH;BCKDHA;ALDH9A1;HMGCLL1;OXCT2;ALDH6A1,0.9497583805048004,5/23,HMGCS2;ALDH7A1;MCCC2;EHHADH;HMGCLL1,23
Salmonella infection,0.08128729967883251,68/99,MAP2K4;CASP5;NCKAP1;DYNC1H1;TUBA3C;BIRC2;NLRP3;TUBB2A;PIK3C2A;FBXO22;RHOH;DCTN2;TRAF2;MYL2;TLR5;FYCO1;PIK3CG;RAB9A;DYNLL2;ARPC5L;PIK3C3;NLRC4;PIK3C2B;IL18;MAP2K2;PYCARD;ARPC3;FLNB;TUBB8;DYNLT1;KIF5B;RIPK3;TNFRSF1A;TUBA1A;TUBA8;DYNLRB1;EXOC2;ARPC2;MYLPF;AKT3;PLEKHM2;TCF7L1;TLR9;FLNC;NFKBIA;RPS3;RIPK1;RAF1;FOS;TXN2;PFN3;STX10;RAB5B;NCKAP1L;MAPK11;ARPC1B;KIF5A;ACTR1B;S100A10;ARPC5;GAPDH;MAP2K6;TUBAL3;TLR2;MAP2K1;DCTN5;MYL7;GSDMD,0.4619967941771162,36/99,NCKAP1;MAPK12;DYNC1H1;TUBA3C;BIRC2;NLRP3;FBXO22;DCTN2;TRAF2;FYCO1;PIK3CG;RAB9A;NLRC4;ARPC5L;PIK3C2B;IL18;ARPC3;FLNB;TUBB8;DYNLT1;RIPK3;BAK1;WASF3;AKT3;PLEKHM2;RPS3;RIPK1;FOS;PFN3;RAB5B;PFN4;ACTR1B;ARPC5;MAP2K6;MYL7;GSDMD,99
Protein processing in endoplasmic reticulum,0.08608121220716297,49/70,EDEM3;CRYAB;P4HB;PPP1R15A;SEC24A;FBXO2;TRAF2;CAPN2;DNAJB11;UBQLN4;DERL2;PDIA6;TUSC3;HSPH1;DNAJC5G;UBE2D4;SEC24C;DDIT3;SEC31B;MBTPS2;HSPA1L;MAP3K5;ATF6;HERPUD1;RPN2;BAG1;DNAJA2;PLAA;RAD23A;SVIP;FBXO6;CAPN1;SEC61A1;NGLY1;ERP29;CKAP4;HSPA6;SSR4;HSPA4L;DNAJB1;UBQLN2;SIL1;PRKCSH;PDIA4;NFE2L2;RBX1;WFS1;SSR1;CALR,0.0020600976355770054,37/70,CRYAB;PPP1R15A;SEC24D;SEC24A;FBXO2;TRAF2;UBQLN4;EIF2AK4;SEC24B;TUSC3;HSPH1;DNAJC5G;UBE2J1;SEC31B;MBTPS2;UBQLN3;BAK1;MAP3K5;DNAJB12;ATF6;DDOST;DNAJA2;PLAA;STUB1;SEC61A1;NGLY1;ERP29;CKAP4;HSPA6;DNAJB1;SIL1;PRKCSH;LMAN1L;DNAJC5B;RBX1;EIF2AK2;WFS1,70
Homologous recombination,0.08768841401858418,15/19,RPA4;BLM;EME1;UIMC1;TOP3B;RPA1;RAD54B;BRCA2;RPA3;BARD1;PALB2;TOPBP1;BRIP1;XRCC2;SSBP1,0.1968035809436429,9/19,RPA2;RAD52;RPA1;RAD54B;SYCP3;RPA3;TOPBP1;BRIP1;XRCC2,19
Hypertrophic cardiomyopathy,0.09604214464460165,35/49,MYBPC3;CACNA2D4;ATP2A1;ITGA4;MYL2;ITGA7;CACNG1;CACNG5;PRKAB1;CACNB4;EDN1;SGCB;ITGA11;ITGA8;ITGB5;DES;RYR2;CACNG8;TTN;CACNA1F;LAMA2;ITGB6;SGCG;SGCA;EMD;ITGB7;CACNG4;TNNI3;AGT;CACNG6;CACNG2;ITGA6;PRKAG1;CACNG3;PRKAA1,0.259273974069609,20/49,MYBPC3;CACNA2D4;ITGA4;ITGA7;CACNG1;ITGA10;TGFB1;PRKAB1;DES;RYR2;CACNG7;ITGB6;SGCG;SGCA;TNNI3;CACNG4;AGT;PRKAG1;CACNG3;PRKAA1,49
Toxoplasmosis,0.09711055801286858,33/46,HLA-DRB1;IFNGR1;BIRC2;LAMC3;PIK3CG;CD40LG;HLA-DOB;TNFRSF1A;HSPA1L;BAD;PPIF;AKT3;IL12A;IL10RB;NFKBIA;ALOX5;LAMB4;GNAI1;JAK2;LAMA3;LAMA2;LAMB2;HLA-DMB;MAPK11;HSPA6;HLA-DRB4;IFNGR2;ITGA6;GNAI3;MAP2K6;HLA-DRB3;TLR2;LAMB1,0.1617778094416305,20/46,MAPK12;BIRC2;PIK3CG;TGFB1;NFKBIB;CD40LG;IL12B;AKT3;IL10RB;LAMB4;GNAI1;JAK2;LAMB2;HLA-DMB;HSPA6;IFNGR2;GNAI3;MAP2K6;GNAI2;LAMB1,46
Ubiquitin mediated proteolysis,0.09711055801286858,33/46,ANAPC10;UBE2M;RHOBTB1;ANAPC2;BIRC2;FBXO2;DET1;CDC23;UBE2R2;COP1;UBE2D4;UBE2NL;PIAS4;PIAS2;HERC3;KLHL9;HERC1;UBE2E2;UBA52;CDC26;RNF7;UBE4A;CDC16;UBE2U;ANAPC11;CDC20;UBA7;RBX1;CUL2;PML;DDB2;SMURF2;WWP1,0.0989380573917579,21/46,ANAPC10;BIRC2;FBXO2;DET1;UBE2O;CDC23;UBE2R2;UBE2NL;UBE2J1;HERC1;STUB1;ANAPC4;ANAPC13;MGRN1;ANAPC11;CDC20;UBE2L6;UBA7;RBX1;PPIL2;PML,46
Thermogenesis,0.09768552849065863,63/92,CREB3L1;PRKAA1;NDUFB5;NDUFS8;LIPE;NDUFB8;CYC1;COX5B;TSC1;CREB3;NDUFA7;RPS6KB2;UQCRQ;COX16;ADCY4;PRKAB1;SIRT6;MGLL;UQCRC2;NDUFS6;NDUFA13;SMARCD3;NDUFB3;COX8A;COX7C;NDUFB11;MAP3K5;BMP8B;ZNF516;NDUFA4L2;NDUFS3;COX6B1;UQCRC1;CPT1C;NDUFA8;ACSL5;COX17;NPPA;NDUFC1;ACSL4;DPF1;MAPK11;COX6C;NDUFA3;CREB3L4;NDUFB1;RPS6KA2;COX7A2;ACSL6;NDUFB10;NPPB;RPS6KA6;CPT2;ARID1B;ADRB3;NDUFAB1;SLC25A20;PRKAG1;COX7A1;COX7B2;SDHB;COX7B;NDUFA11,0.19661987795809002,37/92,MAPK12;DPF3;NDUFS8;NDUFB8;CYC1;COX5B;CREB3;TSC1;NDUFA7;COX16;ADCY4;PRKAB1;COX4I2;MGLL;COX10;NDUFA13;SMARCD3;NDUFV2;NDUFB2;COX8A;MAP3K5;NDUFS3;CPT1C;NDUFA8;COX17;NPPA;NDUFC1;DPF1;NDUFB10;NPPB;ARID1B;GCG;NDUFAB1;UCP1;PRKAG1;COX7A1;PRKAA1,92
RNA degradation,0.09904513010029876,27/37,EXOSC4;EXOSC9;PABPC5;CNOT10;EDC4;CNOT3;LSM1;BTG4;CNOT1;PAN3;PNLDC1;WDR61;CNOT8;LSM6;PNPT1;LSM2;LSM7;EXOSC5;EXOSC1;MPHOSPH6;BTG2;DCP1B;EXOSC2;PFKM;DHX36;XRN2;PABPC3,0.4410750328966321,14/37,EXOSC4;MPHOSPH6;LSM2;EXOSC9;PABPC5;DIS3L;LSM7;CNOT1;CNOT4;EXOSC2;PFKM;PABPC4;DCPS;LSM6,37
