set,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes,Genes
positive regulation of translation (GO:0045727),0.09856320500084322,0.6943422851072758,23/31,PIWIL2;BCL3;RPS6KB2;NSUN5;CCL5;FXR2;DHX36;EIF2B5;CDC123;JMJD4;RPS9;METTL5;TRUB2;FASTKD3;NAT10;POLR2G;ZCCHC13;RPS27L;PASK;EEF2;MRPS27;USP16;EIF4A3,0.0877916898662556,0.5612351396304611,25/31,PIWIL2;BCL3;RPS6KB2;RPL26;CCL5;FXR2;DHX36;EIF2B5;CDC123;JMJD4;RPUSD3;RPS9;METTL5;TRUB2;FASTKD3;NAT10;POLR2G;RPS27L;POLDIP3;PASK;EEF2;MRPS27;USP16;METTL3;EIF4A3,31
snRNA transcription by RNA polymerase II (GO:0042795),0.09856320500084322,0.6943422851072758,23/31,POLR2E;POLR2B;GTF2F1;GTF2E1;INTS2;SNAPC3;INTS12;POLR2J;SNAPC5;POLR2F;POLR2I;GTF2A2;POLR2H;GTF2B;CDK7;POLR2G;GTF2E2;POLR2C;INTS7;ELL2;INTS5;SNAPC1;INTS8,0.03758062677048226,0.34766159897559984,26/31,POLR2E;POLR2B;INTS10;GTF2F1;GTF2E1;INTS2;TBP;SNAPC3;INTS12;POLR2J;POLR2F;SNAPC2;INTS1;POLR2I;GTF2A2;POLR2H;POLR2G;CDK7;GTF2E2;POLR2C;INTS7;ELL2;INTS5;INTS3;SNAPC1;INTS8,31
ATP-dependent chromatin remodeling (GO:0043044),0.10984545748549425,0.7303436097156739,12/15,CHD4;SMARCA5;MTA2;ZNHIT1;ERCC6;VPS72;ARID1B;HDAC1;SMARCAD1;SRCAP;MBD2;ACTR5,0.23889993243538482,0.8548872844972526,12/15,CHD4;SMARCA5;MTA2;ACTR6;GATAD2B;VPS72;ARID1B;HDAC2;HDAC1;SMARCAD1;MBD2;ACTR5,15
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",0.122975458458455,0.7303436097156739,22/30,CRADD;PLK2;TFDP2;BCL3;TFAP4;E2F8;CNOT1;TRIAP1;GADD45A;CARM1;ARID3A;CNOT10;E2F7;RPS27L;PAXIP1;TNKS1BP1;CNOT8;CNOT3;PML;BTG2;E2F1;RPS6KA6,0.6402718383195238,0.9999508177820171,20/30,CRADD;PLK2;TFDP2;BCL3;TFAP4;RPL26;E2F8;CNOT1;TRIAP1;GADD45A;CARM1;CNOT10;E2F7;RPS27L;PAXIP1;CNOT3;BTG2;SFN;E2F1;RPS6KA6,30
telomere organization (GO:0032200),0.10984545748549425,0.7303436097156739,12/15,ERCC4;RPA1;RPA3;WRN;HUS1;BLM;ATR;DCLRE1B;DOT1L;TERF2IP;PARP1;RECQL4,0.09453945451780602,0.5612351396304611,13/15,ERCC4;RPA2;RPA3;WRN;HUS1;BLM;ATR;DCLRE1B;TINF2;DOT1L;TERF2IP;PARP1;RECQL4,15
positive regulation of cellular protein localization (GO:1903829),0.1219797584837431,0.7303436097156739,18/24,TYROBP;PRKAA1;MAP1A;TFRC;VPS28;RTN4;STX3;PYHIN1;PDZK1;GPR137B;SLC5A3;CENPQ;INS;NUMA1;NGFR;ABCA7;NUP62;MARK4,0.16744408373546135,0.7758624838838329,19/24,GPR137B;CENPQ;NGFR;PDZK1;INS;ABCA7;MARK4;EIF2AK3;SLC5A3;NUMA1;PRKAA1;NUP62;MAP1A;TFRC;VPS28;RTN4;STX3;PYHIN1;TGFB1,24
chemical homeostasis (GO:0048878),0.11989991871081958,0.7303436097156739,16/21,ABCB11;ABHD5;TM6SF2;PNPLA1;ABHD4;PNPLA5;SLC4A10;ACOX3;ADCK1;AQP11;ACOX2;CETP;VGF;AQP9;SLC4A2;PNPLA3,0.016913014375099393,0.23744648074349625,19/21,ABHD5;ABHD4;SLC4A10;ACOX3;ADCK1;AQP11;ACOX2;SLC4A9;VGF;SLC4A2;PNPLA3;TM6SF2;PNPLA5;TLCD1;ABCB11;PNPLA1;CETP;AQP9;NR1D2,21
protein deubiquitination (GO:0016579),0.10917092443574518,0.7303436097156739,64/94,SENP8;STAM;PSMD7;PSMA5;ENY2;PSMA4;PSMD8;USP21;UIMC1;IFIH1;PSMD4;PSMD11;PSMD2;PSMD14;SUDS3;RAD23A;ACTR5;TAF10;ZC3H12A;CDC20;UCHL3;JOSD2;PSMA2;UBA52;YY1;TNIP3;DDB2;CCNA2;PSMB3;CLSPN;STAMBPL1;USP38;SIAH2;PSMC3;PSMB4;PSMB10;BIRC2;SUPT3H;PSMC5;IL33;TRAF2;PSMD6;WDR20;PSMB8;TRRAP;BARD1;TNIP2;USP24;STAMBP;RIPK1;HCFC1;USP51;ADRB2;USP13;USP16;WDR48;SMURF2;USP20;USP44;PSME4;NLRP3;TFPT;USP8;NFKBIA,0.06647457093712213,0.505281429651271,71/94,SENP8;STAM;PSMD7;OTUD6B;PSMA5;ENY2;RCE1;PSMD8;USP21;UIMC1;IFIH1;PSMB6;PSMD2;PSME3;PSMD4;PSMD14;COPS5;SUDS3;RAD23A;ACTR5;TAF10;ZC3H12A;KAT2A;CDC20;DDX58;ASXL2;UCHL3;PSMA2;JOSD2;UBA52;YY1;DDB2;CCNA2;PSMB3;CLSPN;STAMBPL1;USP38;SIAH2;PSMC3;PSMB4;PSMB10;BIRC2;SUPT3H;PSMC5;IL33;TRAF2;PSMD6;WDR20;PSMB8;BARD1;USP12;TNIP2;USP30;USP24;STAMBP;RIPK1;HCFC1;ADRB2;USP13;PSMA8;USP16;IKBKG;SMURF2;USP20;USP44;PSME2;PSME4;NLRP3;TFPT;PSMA4;NFKBIA,94
cellular calcium ion homeostasis (GO:0006874),0.12307342425363907,0.7303436097156739,43/62,ANXA6;RYR2;CCL7;TRPC5;WFS1;CCL19;PDZD8;HCRTR2;CCL5;HERPUD1;STIM2;EDN2;CALB1;EDN1;WBP2NL;CALR;SLC10A7;FZD9;ATP13A1;CCL1;ATP2C1;TNNI3;ATP13A3;TRPC6;ATP2C2;SLC24A4;CAMK2D;CCL15;STIM1;ATP13A5;ATP2A1;HCRTR1;CALCB;SCGN;SLC24A2;PML;LETM1;CALB2;STOML2;HTR2A;HRC;SLC30A1;DMPK,0.6724119297861582,0.9999508177820171,41/62,CTRC;ANXA6;RYR2;TRPC5;CCL7;WFS1;CCL19;PDZD8;HCRTR2;CCL5;STC1;STIM2;EDN2;TRPC7;CALB1;EDN1;CALR;TPCN2;SLC10A7;FZD9;ATP13A1;CCL1;TNNI3;ATP13A3;TRPC6;ATP2C2;SLC24A4;STIM1;CDH5;ATP2A1;HCRTR1;BAK1;CALCB;SCGN;SLC24A2;GCM2;STOML2;LETM1;PKHD1;HRC;DMPK,62
regulation of anatomical structure morphogenesis (GO:0022603),0.11322586517063182,0.7303436097156739,36/51,TBX1;EPHB3;ARC;ZDHHC15;LZTS1;SPARC;PROK2;PDZD8;RC3H1;HECW1;ABI3;PPFIA2;CRB2;PROK1;CDH2;SHANK3;CDX2;SDC2;VASH2;SEMA4D;FGFR2;EPHA2;EMP2;ZMYM4;CDK5R1;SARM1;TSPAN12;STAT2;CAPZB;LEP;LRRC4C;PHLDB1;BRSK1;LFNG;RAP2A;CHRNA3,0.5218193998182403,0.9999508177820171,35/51,TBX1;EPHB3;ARC;ZDHHC15;LZTS1;PROK2;PDZD8;RC3H1;HECW1;ABI3;PPFIA2;CRB2;PROK1;CLDN4;CDH2;SHANK3;SDC2;SEMA4D;FGFR2;EPHA2;EMP2;ZMYM4;BCL9L;CDK5R1;SARM1;TSPAN12;STAT2;CAPZB;LEP;TGFB1;LRRC4C;PHLDB1;BRSK1;LFNG;CHRNA3,51
